state_code,dist_code,mean_decision_days
1,1,333.2949177425623
1,2,366.063879817113
1,3,375.3443817662597
1,4,320.08606531747137
1,5,342.76527457528977
1,7,359.0160178470235
1,8,333.80394479153006
1,9,257.4355793723193
1,10,403.58220765626555
1,11,381.444275648538
1,12,220.98046899010387
1,13,311.4731495779149
1,14,337.3418691797522
1,15,344.14098219375455
1,17,366.50607415943205
1,18,364.05168870055064
1,19,283.0106151784742
1,20,316.2584904730102
1,21,280.74868801804894
1,23,341.3664838660122
1,24,278.18413281318107
1,25,301.926814740919
1,26,353.5670464265565
1,27,313.28719320468883
1,28,347.048908768271
1,29,334.7752092055124
1,30,318.8862499365772
1,31,344.81549350818534
1,32,309.79079629521755
1,33,277.6497759594779
1,34,374.06844111025356
1,35,346.40447322599664
1,36,390.43566334889624
1,37,218.62166440257516
1,38,381.4568972588133
1,39,649.7608607389362
1,40,473.0730362295608
1,41,336.9263278605991
1,42,364.13750741160686
1,43,361.3013321084061
2,2,367.39562698446684
2,3,439.5266881028939
2,4,382.0485603328976
2,5,361.8989686064895
2,7,335.60679001867254
2,10,384.98428045346236
2,11,427.62074630826385
2,15,497.476326733051
2,17,372.3794680635302
2,19,409.4675919948354
2,20,433.0801410575985
2,21,373.68701783620315
2,23,415.7723494935297
3,1,283.8319934614511
3,2,241.6332463065095
3,3,247.3677872476374
3,4,262.7858505385996
3,5,195.50811424570725
3,6,274.86434171272634
3,7,218.11457696414394
3,8,226.15163184983348
3,9,228.87149253248853
3,10,254.82277976257834
3,11,283.945466939332
3,12,202.95954679032198
3,13,228.31394332037243
3,14,219.10097693714593
3,15,238.81388316372536
3,16,186.042219468204
3,17,253.51726342710998
3,18,224.35265939515207
3,19,267.8540286991677
3,20,255.16408851328598
3,21,203.8088103375214
3,22,261.7860086349117
3,23,220.4312147548769
3,24,214.9199880702859
3,25,240.75928585104347
3,26,273.28305287177284
3,27,255.9133561673835
3,28,282.6156888697365
3,29,238.63002378594098
3,30,225.4120466402665
4,1,283.5894041058923
4,2,323.84184208258426
4,3,298.138073347335
4,4,348.8774879273585
4,5,276.32409015552224
4,6,301.0284422913649
4,7,331.6630804828084
4,8,294.2713216813705
4,9,301.2834109480713
4,10,246.0381745073056
4,11,313.0563547476693
4,12,294.4934248882555
4,13,617.9516129032259
4,15,352.11366397961
4,16,233.73295592842393
5,1,284.5621999725689
5,2,313.0358563766262
5,3,252.74595876140526
5,4,224.40460799403013
5,5,255.81906938267358
5,6,263.927376330721
5,7,285.82568943118844
5,8,195.52794547883585
5,9,314.4623536141133
5,10,193.61486051118058
5,11,166.20556272864212
6,1,375.3226983811699
6,2,304.2618678174853
6,3,367.465860254502
6,4,269.2035137066839
6,5,278.70113254441213
6,6,276.5199672907462
6,7,288.3138725392264
6,8,381.5711046413975
6,9,300.27893407122235
6,10,298.2116868617213
6,11,271.1803237228123
6,12,383.97747747747746
6,13,325.4401584796926
6,15,259.2783002622725
6,16,402.8415712981816
6,17,244.03903394255875
6,18,337.0365352412848
6,19,302.41384609755204
6,20,389.8732861179918
6,21,317.4275651288022
6,22,344.1376161111545
6,23,217.00066168199564
6,24,270.66733067729086
6,25,236.94290375203914
6,26,100.39763249932741
6,27,46.99663173652694
6,28,68.19441571871768
7,1,251.9517599082931
7,2,312.9790540331799
7,3,348.83949832530624
7,4,341.9970542635659
7,5,378.198523057585
7,6,261.37158355310476
7,7,272.44092847569146
7,8,323.03424432005266
7,9,316.6995274029501
7,10,292.3320651369356
7,11,330.4171502950704
7,12,258.0533276450512
7,13,288.68966194968556
7,14,310.1168071731397
7,15,229.2314417371544
7,16,347.57557241504634
7,17,322.35605934599647
7,18,301.18424924275206
7,19,295.98966128822946
7,20,255.13287743913222
7,21,258.8079703980946
7,22,321.89307300427356
7,23,235.35605868960283
7,24,346.49300998573466
8,1,130.42095524045163
8,2,306.41697224396745
8,3,303.9563197705892
8,4,274.41675312997165
8,5,272.5259119196666
8,6,304.9666765506175
8,7,166.69253361571197
8,9,436.8161611238836
8,10,204.3841421150596
8,11,210.23954307309114
8,12,230.00594945793827
8,13,258.94532252676737
8,14,213.1721531958499
8,15,203.36074175772507
8,16,425.9232908301682
8,17,272.54718213816136
8,18,347.970500321256
8,19,194.7176562894051
8,20,286.25881584675665
8,21,166.1799983063765
8,22,220.620647222642
8,23,261.5925789667315
8,24,256.9768094608418
8,25,281.374273392087
8,26,242.20135119528814
8,27,307.08479499497264
8,28,133.60776879949879
8,29,192.02044887780548
8,30,127.27668486506815
8,31,175.66625416010862
8,33,22.33000169981302
8,34,117.10009678980481
8,35,17.324690808091393
8,36,26.800138683140542
8,37,50.95227168425883
8,38,35.04156128646819
8,39,31.340461121157325
9,1,265.71226031759977
9,2,364.4895621334295
9,3,285.32420268058564
9,4,342.58537741693027
9,5,351.1776912345966
9,6,238.04826701989757
9,7,298.4527478211395
9,8,314.3675416719283
9,9,307.2986004569486
9,10,265.86600795609417
9,11,308.0941100463013
9,12,250.50749242876282
9,13,382.16037230195934
9,14,269.8694627725777
9,18,382.49853652937463
9,19,261.52952726174294
9,20,279.6204599969379
9,21,335.03330124363936
9,22,303.305323079243
9,23,308.3856668267691
9,24,299.826310334943
9,25,323.2977741383161
9,26,311.60678998705765
9,27,316.7992324942358
9,28,319.12389490106733
9,29,291.52662416514875
9,30,357.7502667037213
9,31,339.281696454818
9,32,222.65527317372621
9,33,277.5135452753737
9,34,304.80345819790057
9,35,300.68635145350834
9,36,305.0936193139544
9,38,419.7239857409608
9,39,237.64169357471974
9,40,381.58822295907
10,1,387.04515287982935
10,2,439.6047336808928
10,3,323.963799115185
10,4,234.24715684867618
10,5,349.5251231415018
10,6,302.76058403205155
10,7,384.5854937777066
10,8,328.4497636386866
10,9,284.25498954478076
10,10,419.53166148663075
10,11,294.42428312862137
10,12,432.93996383123897
10,13,352.7713093178913
10,14,270.1477390249991
10,15,329.19187326394893
10,16,320.42186633614926
10,17,321.9628461059615
10,18,407.9088406890615
10,19,326.0978872681148
10,20,417.0065222274724
10,21,254.51789042117034
10,22,425.42781589479705
10,23,323.03427492998907
10,24,395.22619736179263
10,25,280.21876500034284
10,26,273.66456391265484
10,27,366.9280220141439
10,28,387.01060985183005
10,29,289.0213308744429
10,30,289.7428749351323
10,31,393.7190288883648
10,32,393.4447776912862
10,33,356.30905416817467
11,1,318.9795361527967
11,2,317.97046973147474
11,3,449.43079200592155
11,4,339.98738732678595
11,5,302.2567134489999
11,6,329.78238736102986
11,7,413.4679718725287
11,8,258.1983713173543
11,9,408.7226206698702
11,10,331.00119289684153
11,11,225.38796915542886
11,12,113.02640180127833
11,13,307.11994984448535
11,14,336.58669001751315
11,15,316.7000525279054
11,16,313.4203313538266
11,17,280.9063164217725
11,18,248.946916330762
11,19,267.20133148404994
11,20,315.2701045953361
11,21,506.7495627285737
11,22,304.45857405462186
11,23,332.7114452146181
11,24,238.23009842419296
11,26,255.70963063045164
11,27,350.661140933491
11,29,376.3507306030047
11,30,418.59473684210525
11,31,192.3346440397351
11,32,354.82860438292965
12,1,383.8537460148778
12,2,302.2398080395325
12,3,246.63048807666593
12,4,148.54680596194254
12,5,304.9439019428339
12,6,287.50391019172554
12,7,321.5233824471493
12,8,258.11814459287103
12,9,265.4515847630125
12,10,325.11678957297204
12,11,192.58928571428572
12,12,370.05797101449275
12,13,226.6035452531106
12,14,248.8141395348837
12,15,217.96659242761692
12,16,156.1358778625954
12,17,214.14918414918415
