Name,Unique-ID,mean_decision_days
Jehanabad,173,138.7008032128514
Sheohar,178,346.9642857142857
Muzaffarpur,170,258.6906256327192
Vaishali,176,247.75640355462625
Rajsamand,531,173.7030254284477
Alwar,648,242.49560276607303
Dausa,538,127.58509992410828
Jaipur,528,201.23496029291596
Tonk,526,142.40872601308627
Bikaner,523,114.35785704400774
Ganganagar,520,162.1257163187253
Nagaur,518,153.4977997189557
Udaipur,536,187.76757569030585
Bundi,527,137.1899345658952
Hanumangarh,517,131.80945439059147
Baran,649,154.9475996852046
Bharatpur,533,214.5217983342033
Ajmer,532,137.52113074307422
Jhunjhunun,514,177.5694435777431
Pali,530,102.354971851477
Kota,529,106.79301167255998
Jalor,537,166.0105624363305
Jhalawar,647,138.35556478405314
Pratapgarh,524,131.34242075874528
Pratapgarh,605,131.34242075874528
Pratapgarh,524,126.71159835193532
Pratapgarh,605,126.71159835193532
Dungarpur,534,150.04620809672102
Banswara,652,135.7656359495445
Sirohi,539,152.24595914742451
Barmer,519,161.905250793927
Karauli,653,147.19654117735905
Chittaurgarh,535,200.813949450604
Bhilwara,525,178.72682956929532
Jaisalmer,515,106.68354626803912
Churu,522,156.56588076476314
Dhaulpur,650,166.2803646563815
Sikar,516,142.99697806941805
Sawai Madhopur,651,142.66349454917787
Jodhpur,521,94.08458336946154
Dharmapuri,557,258.856332256285
Pudukkottai,628,237.71722619702803
Tirunelveli,545,146.40843945825753
Theni,551,78.75598688824952
Namakkal,558,240.88957098504093
Nagapattinam,631,177.75082979900424
Kanniyakumari,634,182.85884031722512
Tiruchirappalli,549,178.22802533065075
Thoothukkudi,635,154.04328642720984
Viluppuram,632,268.4119187626624
Vellore,629,160.7155751695293
Salem,552,297.0212919876432
Chennai,630,310.6321833895675
Virudhunagar,546,115.95486213666452
Madurai,553,147.93305723744666
The Nilgiris,646,159.5464692659484
Thanjavur,542,152.55191388001552
Coimbatore,645,275.6977648024815
Karur,556,243.39978238460657
Cuddalore,627,292.05749158869327
Ramanathapuram,544,127.14480503947054
Tiruvannamalai,543,204.08697359029264
Perambalur,554,158.06993006993008
Erode,644,267.49459390862944
Thiruvarur,547,127.9912461221857
Krishnagiri,643,129.11790846955483
Dindigul,555,169.3605757300025
Puducherry,269,263.37372515125327
Sivaganga,541,134.6244010195412
Ariyalur,540,131.93497052334624
Kancheepuram,633,226.2957883450116
Thiruvallur,548,339.8108387096774
Tiruppur,550,181.7196405161112
Cuttack,501,223.37749098500663
Kendrapara,505,254.37299444003176
Nuapada,510,298.4637825294215
Ganjam,507,211.21711247310955
Baleshwar,496,208.9483625080104
Koraput,488,220.48769665187572
Dhenkanal,499,338.3672650686992
Khordha,493,219.24439650005996
Gajapati,498,227.84858445551905
Kalahandi,503,248.60880468096963
Sambalpur,497,239.5208696916812
Jharsuguda,511,224.44698512137825
Kendujhar,506,237.1143866113926
Jagatsinghapur,491,286.55142602495545
Puri,485,224.3801889493272
Sundargarh,508,197.98856591116984
Balangir,513,244.67126794039677
Bhadrak,509,224.9819197501201
Jajapur,502,278.7458581309313
Subarnapur,484,261.4683222802314
Rayagada,512,161.82229549201296
Nayagarh,500,201.1798920377868
Kandhamal,492,241.21481290765533
Baudh,504,157.86951686642777
Mayurbhanj,494,314.3087140838436
