Name,Unique-ID,mean_decision_days
Sheohar,178,1147.9146341463415
Muzaffarpur,170,855.9781227211167
Vaishali,176,834.4971334971335
Rajsamand,531,382.883479291309
Alwar,648,637.5323392962323
Dausa,538,446.7295411353383
Jaipur,528,526.3990955382601
Tonk,526,527.4840893487251
Bikaner,523,378.5723406465749
Ganganagar,520,451.9271008900837
Nagaur,518,457.98768914006286
Udaipur,536,521.8821430746874
Bundi,527,375.4353336844121
Hanumangarh,517,454.48453660877465
Baran,649,396.3626482213439
Bharatpur,533,581.1668541168752
Ajmer,532,393.7944176770618
Jhunjhunun,514,549.0607907601
Pali,530,407.8827383029034
Kota,529,417.2320597112707
Jalor,537,540.2068831204963
Jhalawar,647,474.1107686346343
Pratapgarh,524,414.1154975687256
Pratapgarh,605,414.1154975687256
Pratapgarh,524,438.3501601505226
Pratapgarh,605,438.3501601505226
Dungarpur,534,393.6151911468813
Banswara,652,475.5906588051847
Sirohi,539,470.3775062519194
Barmer,519,494.3637196007057
Karauli,653,471.7416892999035
Chittaurgarh,535,565.0524551476307
Bhilwara,525,555.038078782915
Jaisalmer,515,326.5177495834935
Churu,522,434.61616590579325
Dhaulpur,650,544.330881130507
Sikar,516,501.1345538033956
Sawai Madhopur,651,441.5873322757618
Jodhpur,521,414.9254736965988
Dharmapuri,557,631.427655125979
Pudukkottai,628,660.6635892000446
Tirunelveli,545,432.2993911072588
Theni,551,288.473116825007
Namakkal,558,490.7313211861798
Nagapattinam,631,452.0647777872316
Kanniyakumari,634,562.4589260052204
Tiruchirappalli,549,463.1968304332133
Thoothukkudi,635,404.552929784617
Viluppuram,632,636.8413815336046
Vellore,629,388.4235264423583
Salem,552,627.416508174618
Chennai,630,522.6116213854269
Virudhunagar,546,387.5345800948082
Madurai,553,470.23046715587
The Nilgiris,646,413.3001494889096
Thanjavur,542,444.0469035510644
Coimbatore,645,614.6631157131604
Karur,556,523.9524943410647
Cuddalore,627,640.2000202506581
Ramanathapuram,544,357.6734753818221
Tiruvannamalai,543,671.0553736654804
Perambalur,554,456.6675772305467
Erode,644,571.2957685774409
Thiruvarur,547,345.9383378016085
Krishnagiri,643,403.86795383932537
Dindigul,555,538.3804281819708
Puducherry,269,572.6682712215321
Sivaganga,541,430.78901103556376
Ariyalur,540,383.1887764299879
Kancheepuram,633,651.8334333980811
Thiruvallur,548,752.5838203750714
Tiruppur,550,543.2763401598137
Cuttack,501,705.7444348196731
Kendrapara,505,785.3350294899965
Nuapada,510,759.8326719146445
Ganjam,507,660.4479847494554
Baleshwar,496,696.7068518411802
Koraput,488,601.401864706683
Dhenkanal,499,795.8876529036855
Khordha,493,784.6799419578078
Gajapati,498,544.7292532541676
Kalahandi,503,647.3747047765942
Sambalpur,497,634.3355517494495
Jharsuguda,511,401.8856055802156
Kendujhar,506,729.2658999134699
Jagatsinghapur,491,797.2147902781658
Puri,485,736.0273096040679
Sundargarh,508,725.7710293409074
Balangir,513,659.06277795015
Bhadrak,509,609.3534419706855
Jajapur,502,704.4954326816999
Subarnapur,484,618.2627568376649
Rayagada,512,698.1719726742806
Nayagarh,500,700.8057061534291
Kandhamal,492,541.1672163918041
Baudh,504,414.5034183758546
Mayurbhanj,494,704.9718041237113
Anugul,486,1154.494825619296
Bargarh,490,872.8080375638724
Debagarh,487,682.5178453403834
Malkangiri,495,416.6233421750664
Nabarangapur,489,648.0423546834505
Kathua,83,601.5786522193708
Udhampur,77,441.8117586715394
Baramula,65,532.8297930037061
Anantnag,64,186.6452123268825
Srinagar,72,530.3939070162461
Pulwama,74,400.7745650372825
Ganderbal,76,496.1044487427466
Badgam,78,457.7551735464798
Reasi,68,486.60070129300897
Shupiyan,67,459.2574985180794
Kupwara,80,440.6717171717172
Punch,79,536.7447361580453
