Name,Unique-ID,decision_time
Adilabad,664.0,58.82893226176808
Agra,626.0,69.4480213172014
Ahmadabad,89.0,153.77238722465555
Ahmadnagar,449.0,58.1490903103647
Aizawl,277.0,127.06758832565284
Ajmer,532.0,33.95645782494928
Akola,457.0,68.3224877139468
Alappuzha,360.0,143.57926308511938
Aligarh,569.0,45.67456927239072
Alirajpur,39.0,31.56811594202898
Allahabad,636.0,37.11071353399284
Almora,347.0,76.04201680672269
Alwar,648.0,89.6230347156273
Ambala,217.0,71.10473421079482
Ambedkar Nagar,595.0,65.50442140085248
Amravati,467.0,91.11407274895647
Amreli,99.0,80.94030605792335
Amritsar,404.0,86.64039387115292
Anand,97.0,77.5312580728494
Anantapur,132.0,110.96349153667444
Anantnag,64.0,45.90575916230366
Anugul,486.0,88.4316338354577
Anuppur,48.0,63.593716143011925
Araria,168.0,57.94474366646719
Aravali,93.0,124.36062840091276
Ariyalur,540.0,56.95375185735513
Ashoknagar,1.0,61.92384406165005
Auraiya,600.0,49.946490829164766
Aurangabad,471.0,59.45068261399851
Aurangabad,166.0,59.45068261399851
Aurangabad,471.0,99.65892696122631
Aurangabad,166.0,99.65892696122631
Azamgarh,593.0,62.64697716894977
Badgam,78.0,79.54961089494164
Bagalkot,437.0,66.69222151088348
Bageshwar,354.0,54.52456418383519
Baghpat,572.0,98.72322445879226
Bahraich,563.0,88.24790511795797
Baksa,253.0,239.9476439790576
Balaghat,13.0,31.36289286131557
Balangir,513.0,72.58922030350602
Baleshwar,496.0,92.05934343434345
Ballia,596.0,62.432680107147895
Balod,336.0,46.81453154875717
Baloda Bazar,335.0,47.54332414336353
Balrampur,328.0,70.89527513684817
Balrampur,579.0,70.89527513684817
Banas Kantha,95.0,83.71174692516156
Banda,639.0,72.9370312065932
Bandipore,82.0,149.64532019704433
Bangalore,446.0,61.74318981248842
Bangalore Rural,442.0,34.161743778417964
Banka,165.0,90.06018136850784
Bankura,391.0,74.38289382373353
Banswara,652.0,45.51631944444444
Bara Banki,610.0,72.41087487344411
Baramula,65.0,81.90326481257559
Baran,649.0,38.76951250315736
Barddhaman,390.0,92.83932834633136
Bareilly,575.0,45.14569830199374
Bargarh,490.0,47.575945443273405
Barmer,519.0,49.74509261819186
Barnala,415.0,81.18283198826119
Barpeta,259.0,82.86941760250718
Barwani,14.0,34.32996632996633
Bastar,319.0,71.23172550969667
Basti,590.0,36.1950250220783
Bathinda,407.0,71.7010681916271
Batod,91.0,128.1770428015564
Baudh,504.0,71.64683544303797
Begusarai,194.0,65.59225947124557
Belgaum,444.0,65.73685681124532
Bellary,440.0,53.07573529411765
Bemetra,318.0,55.44592790387183
Betul,4.0,42.539411966594216
Bhadrak,509.0,90.41974656810982
Bhagalpur,160.0,105.87511190689348
Bhandara,476.0,67.40120620333143
Bharatpur,533.0,66.70867240176703
Bharuch,106.0,77.2549581155581
Bhavnagar,88.0,65.57575498697193
Bhilwara,525.0,38.49145266385588
Bhind,29.0,47.81818181818182
Bhiwani,203.0,61.687740516767455
Bhojpur,183.0,63.57364953886693
Bhopal,41.0,58.445002007226016
Bid,477.0,82.18903303172354
Bidar,432.0,60.02757373095056
Bijapur,428.0,65.94446255133303
Bijnor,571.0,124.94526757323592
Bikaner,523.0,55.02573363431152
Bilaspur,321.0,34.58207463349621
Bilaspur,58.0,34.58207463349621
Bilaspur,58.0,26.70477481548426
Bilaspur,321.0,26.70477481548426
Birbhum,389.0,108.69789915966386
Bishnupur,282.0,41.95148842337376
Bokaro,152.0,39.03019247704113
Bongaigaon,252.0,183.1286811779769
Budaun,561.0,55.51409611564309
Bulandshahr,570.0,47.68335391177461
Buldana,472.0,64.96832818703132
Bundi,527.0,34.91949079649063
Burhanpur,47.0,42.44284736481861
Buxar,179.0,71.52568659127625
Cachar,255.0,105.07079053148726
Central,713.0,134.78794766442286
Chamarajanagar,433.0,75.59716294250565
Chamba,56.0,25.847583643122675
Chamoli,356.0,107.12833545108003
Champawat,348.0,56.0280535174795
Chandauli,637.0,277.4462102689487
Chandel,279.0,37.35869565217392
Chandigarh,218.0,205.1756419093572
Chandrapur,456.0,47.73962023522743
Chatra,142.0,28.310955710955707
Chennai,630.0,141.1005356407087
Chhatarpur,16.0,48.67274063188831
Chhindwara,3.0,26.232084949449987
Chhota Udaipur,90.0,102.68279569892474
Chikkaballapura,420.0,64.3135935397039
Chikmagalur,422.0,68.62622793706574
Chirang,247.0,286.7190170940171
Chitradurga,423.0,76.1853129311426
Chitrakoot,589.0,74.75357940365164
Chittaurgarh,535.0,43.01695832581634
Chittoor,127.0,131.63719234275297
Churachandpur,283.0,42.86607142857142
Churu,522.0,48.88157575757575
Coimbatore,645.0,90.31281487588166
Cuddalore,627.0,104.66256476683938
Cuttack,501.0,102.71665062560156
Dadra & Nagar Haveli,121.0,176.65793528505392
Dakshin Bastar Dantewada,326.0,56.89906542056075
Dakshin Dinajpur,378.0,33.406410707995775
Dakshina Kannada,425.0,76.43261363636364
Daman,86.0,85.40397350993378
Damoh,35.0,42.59505154639175
Darbhanga,184.0,67.16478190630049
Darjiling,383.0,153.33875138529737
Darrang,256.0,153.77865612648222
Datia,46.0,38.629894578313255
Dausa,538.0,47.2974815527751
Davanagere,430.0,55.92188263395038
Debagarh,487.0,71.07142857142857
Dehradun,346.0,114.16153505721692
Deoghar,153.0,54.48035066505441
Deoria,615.0,169.09507137085913
Devbhumi Dwarka,109.0,94.62291079812206
Dewas,24.0,43.699892723046666
Dhalai,302.0,155.82154340836013
Dhamtari,338.0,49.09118881118881
Dhanbad,150.0,36.45265773360546
Dhar,36.0,41.22681459489022
Dharmapuri,557.0,92.82430316316945
Dharwad,431.0,44.89381290473589
Dhaulpur,650.0,43.60545327429504
Dhemaji,248.0,90.65767359575408
Dhenkanal,499.0,91.24646464646464
Dhubri,242.0,95.94934273805708
Dhule,461.0,72.78628447024674
Dibrugarh,258.0,89.16819571865443
Dima Hasao,264.0,98.0072463768116
Dindigul,555.0,34.58977094446188
Dindori,12.0,41.12536322125364
Diu,87.0,57.206132879046
Doda,73.0,49.12783579402232
Dohad,100.0,142.83119524405507
Dumka,151.0,17.70440522313101
Dungarpur,534.0,51.61352063213345
Durg,331.0,47.46345919610231
East,706.0,54.662982471289176
East Garo Hills,316.0,91.50561797752808
East Godavari,124.0,99.8533639645553
East Khasi Hills,309.0,33.78724573941726
Ernakulam,361.0,198.6233822954739
Erode,644.0,101.2812570909916
Etah,577.0,49.60534647765705
Etawah,625.0,60.24288072637227
Faizabad,594.0,28.231091147504387
Faridabad,212.0,72.43124538478827
Faridkot,405.0,86.0816199376947
Farrukhabad,582.0,78.10497900419915
Fatehabad,211.0,83.0564857582756
Fatehgarh Sahib,401.0,55.89770529844012
Fatehpur,617.0,45.0304607109448
Fazilka,414.0,188.6240380111089
Firozabad,587.0,43.03621103117506
Firozpur,413.0,80.73962612982744
Gadag,435.0,60.53164426059979
Gadchiroli,473.0,89.47050938337802
Gajapati,498.0,112.62633451957296
Ganderbal,76.0,70.3718309859155
Gandhinagar,116.0,70.90366776081062
Ganganagar,520.0,56.86246010311809
Ganjam,507.0,44.59173590837638
Garhwa,156.0,20.911861015099145
Garhwal,350.0,79.30413223140495
Gautam Buddha Nagar,623.0,60.15086098699734
Gaya,164.0,52.83929225137279
Ghaziabad,621.0,61.50872916730143
Ghazipur,642.0,72.19373454245672
Gir Somnath,107.0,230.7791632031033
Giridih,145.0,28.28605474601661
Goalpara,240.0,61.32971356625748
Godda,148.0,28.429746240601503
Golaghat,262.0,77.50418604651163
Gomati,305.0,116.94298245614034
Gonda,607.0,66.15559482689373
Gondiya,466.0,96.79448673112528
Gopalganj,175.0,49.0807891028652
Gorakhpur,591.0,38.24642115906551
Gulbarga,434.0,67.03740025583237
Gumla,154.0,33.55211864406779
Guna,23.0,48.2991662579696
Guntur,130.0,120.24183006535948
Gurdaspur,397.0,88.19565638937367
Gurgaon,197.0,130.68124175130544
Gwalior,34.0,35.42632050134288
Hailakandi,246.0,86.74325943678849
Hamirpur,62.0,53.13228585909783
Hamirpur,62.0,60.15668675471214
Hamirpur,606.0,60.15668675471214
Hamirpur,606.0,53.13228585909783
Hanumangarh,517.0,47.57275703020383
Haora,387.0,42.72413138408961
Hapur,564.0,79.24597056762438
Harda,19.0,68.62838063439065
Hardoi,578.0,102.25058566927862
Hardwar,351.0,107.03143358972804
Hassan,438.0,56.20591224018476
Haveri,424.0,68.6569455800854
Hazaribagh,141.0,30.385409836065566
Hisar,214.0,82.29362751943397
Hoshangabad,5.0,63.168183908045975
Hoshiarpur,411.0,107.6728796597448
Hugli,395.0,96.9513132607303
Hydrabad,656.0,90.58640818993683
Idukki,364.0,131.7692831023046
Imphal East,285.0,49.74500399680256
Imphal West,287.0,52.93244353182751
Indore,17.0,33.5602963403454
Jabalpur,7.0,43.53688560626044
Jagatsinghapur,491.0,172.5254739336493
Jaipur,528.0,86.33155555555555
Jaipur,528.0,46.90582493644342
Jaisalmer,515.0,21.103879026955948
Jajapur,502.0,85.5976401179941
Jalandhar,408.0,63.59884370701513
Jalaun,603.0,113.80968889699844
Jalgaon,474.0,101.14154627098787
Jalna,478.0,75.91020347979946
Jalor,537.0,42.54586709886547
Jalpaiguri,384.0,87.84464856230032
