district_name,Unique-ID,Name
Gaurella Pendra Marwahi,736,Gaurella Pendra Marwahi
Gautam Buddha Nagar,623,Gautam Buddha Nagar
Gaya,164,Gaya
Ghaziabad,621,Ghaziabad
Ghazipur,642,Ghazipur
Gir Somnath at Veraval,107,Gir Somnath
Giridih,145,Giridih
Goalpara,240,Goalpara
Godda,148,Godda
Golaghat,262,Golaghat
Gomati District,305,Gomati
Gonda,607,Gonda
Gondia,466,Gondiya
Gopalganj,175,Gopalganj
Gorakhpur,591,Gorakhpur
KALABURAGI,434,Gulbarga
Gumla,154,Gumla
Guna,23,Guna
Guntur,130,Guntur
Gurdaspur,397,Gurdaspur
Gurugram,197,Gurgaon
Gwalior,34,Gwalior
Hailakandi,246,Hailakandi
Hamirpur,62,Hamirpur
Hamirpur,606,Hamirpur
Hanumangarh,517,Hanumangarh
Howrah,387,Haora
Hapur,564,Hapur
Harda,19,Harda
Hardoi,578,Hardoi
Haridwar,351,Hardwar
HASSAN,438,Hassan
HAVERI,424,Haveri
Hazaribagh,141,Hazaribagh
Hingoli,464,Hingoli
Hisar,214,Hisar
Hnahthial,727,Hnahthial
Hojai,692,Hojai
Hoshangabad,5,Hoshangabad
Hoshiarpur,411,Hoshiarpur
Hooghly,395,Hugli
Hyderabad,656,Hydrabad
Idukki,364,Idukki
Imphal East,285,Imphal East
Imphal West,287,Imphal West
Indore,17,Indore
Jabalpur,7,Jabalpur
Jagatsinghpur,491,Jagatsinghapur
Jagtial,668,Jagtial
Jaipur Metro,528,Jaipur
Jaiselmer,515,Jaisalmer
Jajpur,502,Jajapur
Jalandhar,408,Jalandhar
Jalaun,603,Jalaun
Jalgaon,474,Jalgaon
Jalna,478,Jalna
Jalore,537,Jalor
Jalpaiguri,384,Jalpaiguri
Jammu,70,Jammu
Jamnagar,112,Jamnagar
Jamtara,135,Jamtara
Jamui,193,Jamui
Jangaon,654,Jangaon
Janjgir,343,Janjgir-Champa
Jashpur,341,Jashpur
Jaunpur,609,Jaunpur
Jayashankar,669,Jayashankar
Jehanabad,173,Jehanabad
Jhabua,30,Jhabua
Jhajjar,202,Jhajjar
Jhalawar,647,Jhalawar
Jhansi,638,Jhansi
Jhargram,716,Jhargram
Jharsuguda,511,Jharsuguda
Jhunjhunu,514,Jhunjhunun
Jind,208,Jind
Jiribam,703,Jiribam
Jodhpur District,521,Jodhpur
Jogulamba,682,Jogulamba
Jorhat,266,Jorhat
Junagadh,108,Junagadh
Jyotiba Phule Nagar,586,Jyotiba Phule Nagar
Kawardha,323,Kabeerdham
kachchh at Bhuj,102,Kachchh
Kadapa,134,Kadapa(YSR)
Kaimur at Bhabhua,186,Kaimur (Bhabua)
Kaithal,204,Kaithal
Kakching,702,Kakching
Kalahandi,503,Kalahandi
kalimpong,718,Kalimpong
Kallakurichi,733,Kallakurichi
Kamareddy,667,Kamareddy
Kamjong,700,Kamjong
Kamle,723,Kamle
Kamrup,257,Kamrup
Kamrup Metro,263,Kamrup Metropolitan
Kancheepuram,633,Kancheepuram
Kandhamal,492,Kandhamal
Kangpokpi,286,Kangpokpi
Kangra,59,Kangra
Kannauj,583,Kannauj
Kanniyakumari,634,Kanniyakumari
Kannur,358,Kannur
Kanpur Dehat,608,Kanpur Dehat
Kanpur Nagar,597,Kanpur Nagar
Kanshi Ram Nagar,562,Kanshiram Nagar
Kapurthala,400,Kapurthala
Karaikal,268,Karaikal
Karauli,653,Karauli
Karbi Anglong East,250,Karbi Anglong East
Karbi Anglong,693,Karbi Anglong West
Kargil,84,Kargil
Karimganj,244,Karimganj
Karimnagar,658,Karimnagar
Karnal,206,Karnal
Karur,556,Karur
Kasaragod,363,Kasaragod
Kathua,83,Kathua
Katihar,196,Katihar
Katni,37,Katni
Kaushambi,602,Kaushambi
Kendrapada,505,Kendrapara
Keonjhar,506,Kendujhar
Khagaria,188,Khagaria
Khammam,674,Khammam
Khandwa,32,Khandwa (East Nimar)
Mandleshwar,26,Khargone (West Nimar)
Khawzawl,729,Khawzawl
Kheda at Nadiad,120,Kheda
Kheri,573,Kheri
Khurda,493,Khordha
Khowai Tripura,299,Khowai
KHUNTI,139,Khunti
Kinnaur,54,Kinnaur
Kiphire,296,Kiphire
Kishanganj,163,Kishanganj
Kishtwar,85,Kishtwar
Coochbehar,393,Koch Bihar
KODAGU,441,Kodagu
Koderma,144,Kodarma
Kohima,293,Kohima
Kokrajhar,265,Kokrajhar
KOLAR,427,Kolar
Kolasib,272,Kolasib
Kolhapur,455,Kolhapur
Calcutta,380,Kolkata
Kollam,362,Kollam
Komaram Bheem,665,Komaram Bheem
Kondagaon,329,Kondagaon
KOPPAL,445,Koppal
Koraput,488,Koraput
Korba,339,Korba
Koriya,337,Koriya
Kota,529,Kota
Kottayam,366,Kottayam
Kozhikode,365,Kozhikode
Kra Daadi,688,Kra Daadi
Krishna,123,Krishna
Krishnagiri,643,Krishnagiri
Kulgam,66,Kulgam
Kullu,55,Kullu
Kupwara,80,Kupwara
Kurnool,129,Kurnool
Kurukshetra,207,Kurukshetra
Kurung Kumey,235,Kurung Kumey
Kushinagar,614,Kushinagar
Lahul & Spiti,60,Lahul & Spiti
Lakhimpur,251,Lakhimpur
Lakhisarai,192,Lakhisarai
Lakshadweep,372,Lakshadweep
Lalitpur,641,Lalitpur
Latehar,138,Latehar
Latur,450,Latur
Lawngtlai,273,Lawngtlai
Leh,71,Leh(Ladakh)
Leparada,725,Leparada
Lohardaga,146,Lohardaga
Lohit,224,Lohit
Longding,228,Longding
Longleng,291,Longleng
Lower Dibang Valley,237,Lower Dibang Valley
Lower Siang,726,Lower Siang
Lower Subansiri,229,Lower Subansiri
Lucknow,592,Lucknow
Ludhiana,406,Ludhiana
Lunglei,271,Lunglei
Madhepura,162,Madhepura
Madhubani,180,Madhubani
Madurai,553,Madurai
Mahabubabad,675,Mahabubabad
Mahabubnagar,684,Mahabubnagar
Hathras,580,Mahamaya Nagar
Mahasamund,342,Mahasamund
Mahe,270,Mahe
Narnaul,210,Mahendragarh
Mahesana,104,Mahesana
Mahisagar at Lunawada,117,Mahisagar
Mahoba,611,Mahoba
Maharajganj,612,Mahrajganj
Mainpuri,585,Mainpuri
Majuli,690,Majuli
Malappuram,370,Malappuram
Malda,381,Maldah
Malkangiri,495,Malkangiri
Mamit,278,Mamit
Mancherial,657,Mancherial
Mandi,61,Mandi
Mandla,43,Mandla
Mandsaur,25,Mandsaur
MANDYA,418,Mandya
Mansa,403,Mansa
Mathura,576,Mathura
Mau,618,Mau
Mayiladuthurai,734,Mayiladuthurai
Mayurbhanj,494,Mayurbhanj
Medak,660,Medak
Medchal,680,Medchal
Meerut,568,Meerut
Nuh,201,Mewat
Mirzapur,613,Mirzapur
Moga,410,Moga
Mokokchung,290,Mokokchung
Mon,288,Mon
Moradabad,559,Moradabad
MORBI,118,Morbi
Morena,28,Morena
Morigaon,249,Morigaon
Sri Muktsar Sahib,409,Muktsar
Mulugu,720,Mulugu
Mumbai City Civil Court,481,Mumbai
Mumbai Suburban,482,Mumbai Suburban
Mungeli,320,Mungeli
Munger,189,Munger
Murshidabad,379,Murshidabad
Muzaffarnagar,622,Muzaffarnagar
Muzaffarpur,170,Muzaffarpur
MYSURU,419,Mysore
Nabarangpur,489,Nabarangapur
Nadia,377,Nadia
Nagaon,254,Nagaon
Nagapattinam,631,Nagapattinam
Nagarkurnool,663,Nagarkurnool
Merta (Nagaur),518,Nagaur
Nagpur,483,Nagpur
Nainital,345,Nainital
Nalanda,195,Nalanda
Nalbari,241,Nalbari
Nalgonda,662,Nalgonda
Namakkal,558,Namakkal
Namsai,686,Namsai
Nanded,460,Nanded
Nandurbar,468,Nandurbar
Narayanpet,719,Narayanpet
Narayanpur,330,Narayanpur
Narmada,98,Narmada
Narsinghpur,8,Narsimhapur
Nashik,452,Nashik
Navsari,110,Navsari
Nawada,167,Nawada
Nayagarh,500,Nayagarh
Neemuch,21,Neemuch
New Delhi,705,New Delhi
Nicobars,223,Nicobars
Nirmal,666,Nirmal
Niwari,721,Niwari
Nizamabad,659,Nizamabad
Noney,698,Noney
North,710,North
North & Middle Andaman,221,North & Middle Andaman
Mangan,373,North District
North East,711,North East
North Garo Hills,317,North Garo Hills
North Goa,219,North Goa
North Tripura,304,North Tripura
North Twenty Four Parganas,388,North Twenty Four Parganas
North West,704,North West
Nuapada,510,Nuapada
Osmanabad,453,Osmanabad
Pakke Kessang,722,Pakke Kessang
Pakur,158,Pakur
Palakkad,368,Palakkad
Daltonganj,149,Palamu
Palghar,480,Palghar
Pali,530,Pali
Palwal,199,Palwal
Panchmahal at Godhra,119,Panch Mahals
Panchkula,200,Panchkula
Panipat,209,Panipat
Panna,9,Panna
Papum Pare,239,Papum Pare
Parbhani,458,Parbhani
Paschim Bardhaman,717,Paschim Barddhaman
Paschim Medinpur,394,Paschim Medinipur
Bettiah,169,Pashchim Champaran
West Singhbhum at Chaibasa,140,Pashchimi Singhbhum
Patan,105,Patan
Pathanamthitta,359,Pathanamthitta
Pathankot,396,Pathankot
Patiala,398,Patiala
Patna,182,Patna
Peddapalli,670,Peddapalli
Perambalur,554,Perambalur
Peren,298,Peren
Phek,292,Phek
Pherzawl,697,Pherzawl
Pilibhit,584,Pilibhit
Pithoragarh,355,Pithoragarh
Porbandar,114,Porbandar
Prakasham,122,Prakasam
Pratapgarh,524,Pratapgarh
Pratapgarh,605,Pratapgarh
Puducherry,269,Puducherry
Pudukkottai,628,Pudukkottai
Pulwama,74,Pulwama
Poonch,79,Punch
Pune,465,Pune
Motihari,191,Purba Champaran
Purba Medinipur,386,Purba Medinipur
East Singhbhum at Jamshedpur,143,Purbi Singhbhum
Puri,485,Puri
Purnea,161,Purnia
Purulia,392,Puruliya
Raebareli,619,Rae Bareli
RAICHUR,426,Raichur
Raigarh,340,Raigarh
Raigarh,475,Raigarh
Raipur,334,Raipur
Raisen,2,Raisen
Rajanna Sircilla,671,Rajanna Sircilla
Rajgarh,42,Rajgarh
RAJKOT,101,Rajkot
Rajnandgaon,344,Rajnandgaon
Rajouri,69,Rajouri
Rajsamand,531,Rajsamand
RAMANAGARAM,447,Ramanagara
Ramanathapuram,544,Ramanathapuram
Ramban,75,Ramban
RAMGARH,155,Ramgarh
Rampur,574,Rampur
Ranchi,157,Ranchi
Rangareddy,661,Rangareddy
Ranipet,731,Ranipet
Ratlam,18,Ratlam
