year,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days,mean_decision_days
2013,1,1,614,6911,7525,3515270.0,508.6485313268702
2013,1,2,2034,12053,14087,6904962.0,572.8832655770348
2013,1,3,3494,28404,31898,15127220.0,532.5735811857485
2013,1,4,3511,16320,19831,9144192.0,560.3058823529411
2013,1,5,3264,16247,19511,10174328.0,626.2281036499046
2013,1,7,4455,24491,28946,15634943.0,638.3954513903067
2013,1,8,1801,26330,28131,11053698.0,419.81382453475123
2013,1,9,11622,73996,85618,27494660.0,371.56954429969187
2013,1,10,657,7513,8170,5254727.0,699.417942233462
2013,1,11,910,5472,6382,3820167.0,698.1299342105264
2013,1,12,106,6202,6308,2275425.0,366.88568203805227
2013,1,13,2327,12389,14716,7739906.0,624.7401727338769
2013,1,14,5285,31219,36504,19229175.0,615.9446170601236
2013,1,15,4364,16795,21159,10361539.0,616.9418874665079
2013,1,17,2994,18114,21108,11218256.0,619.3141216738435
2013,1,18,2949,15304,18253,9773554.0,638.6274176685833
2013,1,19,7503,38420,45923,17695851.0,460.58956272774594
2013,1,20,10592,33603,44195,19085526.0,567.9708954557628
2013,1,21,19133,42917,62050,24972810.0,581.8861989421441
2013,1,23,21184,64192,85376,43132144.0,671.9239780658025
2013,1,24,4910,13157,18067,6324725.0,480.71178840161133
2013,1,25,19573,48063,67636,27357621.0,569.2033580925035
2013,1,26,7877,37764,45641,21964079.0,581.6142092998623
2013,1,27,3674,28499,32173,13833585.0,485.4059791571634
2013,1,28,3549,17193,20742,10210602.0,593.88134705985
2013,1,29,3185,18143,21328,10061137.0,554.5464917599074
2013,1,30,6818,31836,38654,17972156.0,564.5230556602588
2013,1,31,3693,24109,27802,13134146.0,544.7818656933096
2013,1,32,739,7746,8485,3923107.0,506.4687580686806
2013,1,33,506,4458,4964,1746154.0,391.68999551368324
2013,1,34,5114,19390,24504,12745225.0,657.3091799896854
2013,1,35,3391,18529,21920,10946621.0,590.7831507366831
2013,1,36,1361,9876,11237,5979703.0,605.4782300526529
2013,1,37,4808,33817,38625,12567019.0,371.6183872017033
2013,1,38,2076,4805,6881,2954620.0,614.9053069719042
2013,1,39,667,1934,2601,1769975.0,915.188728024819
2013,1,40,2552,15201,17753,11318521.0,744.5905532530754
2013,1,41,385,3134,3519,2164837.0,690.7584556477345
2013,1,42,562,20660,21222,10344905.0,500.72144240077444
2013,1,43,66,69,135,71811.0,1040.7391304347825
2013,2,2,1060,16892,17952,9832870.0,582.1021785460573
2013,2,3,1570,15738,17308,11095878.0,705.0373617994662
2013,2,4,1059,16711,17770,11751964.0,703.2472024415056
2013,2,5,1237,25424,26661,14285811.0,561.9025723725614
2013,2,7,725,7629,8354,5650930.0,740.7170009175514
2013,2,10,1023,11151,12174,8466574.0,759.2658954353869
2013,2,11,1240,24089,25329,17616216.0,731.2971065631616
2013,2,15,1050,8737,9787,8312537.0,951.417763534394
2013,2,17,1167,11720,12887,7432639.0,634.1842150170648
2013,2,19,459,4389,4848,3641210.0,829.6217817270449
2013,2,20,2101,20067,22168,14915295.0,743.2747794887129
2013,2,21,446,5169,5615,3894229.0,753.381505126717
2013,2,23,1229,13391,14620,9407942.0,702.5570905832276
2013,3,1,4755,51584,56339,22419757.0,434.62618253722087
2013,3,2,1485,18867,20352,6627129.0,351.2550484973764
2013,3,3,1946,19523,21469,7519392.0,385.1555601085899
2013,3,4,1491,24116,25607,10026432.0,415.7585005805274
2013,3,5,2923,18747,21670,6045827.0,322.4957059796234
2013,3,6,1062,17326,18388,6499706.0,375.1417522798107
2013,3,7,700,12079,12779,4112490.0,340.466098186936
2013,3,8,544,8234,8778,2786394.0,338.4010201603109
2013,3,9,1320,26700,28020,9284449.0,347.7321722846442
2013,3,10,1089,20378,21467,6371588.0,312.6699381686132
2013,3,11,998,20708,21706,8516974.0,411.28906702723583
2013,3,12,1503,31999,33502,9587482.0,299.6181755679865
2013,3,13,679,18731,19410,5494919.0,293.3596177459826
2013,3,14,1209,22964,24173,7175961.0,312.48741508448006
2013,3,15,2588,34269,36857,12347759.0,360.3186261635881
2013,3,16,1439,19048,20487,5092481.0,267.34990550188996
2013,3,17,980,18453,19433,6735398.0,365.0028721617081
2013,3,18,3705,38291,41996,11834817.0,309.07568358099815
2013,3,19,2004,21605,23609,8178656.0,378.5538532747049
2013,3,20,9720,158287,168007,57888817.0,365.7206024499801
2013,3,21,9082,38167,47249,13291329.0,348.2413865381088
2013,3,22,4068,30340,34408,11759011.0,387.5745220830587
2013,3,23,2445,46176,48621,14432144.0,312.54643104643105
2013,3,24,1555,15136,16691,6913902.0,456.7852801268499
2013,3,25,497,12082,12579,3436727.0,284.45017381228274
2013,3,26,5120,38724,43844,17141881.0,442.66813862204316
2013,3,27,1441,12027,13468,4561326.0,379.25717136443
2013,3,28,2314,13408,15722,5421224.0,404.32756563245823
2013,3,29,1521,12451,13972,4951171.0,397.6524777126335
2013,3,30,483,5448,5931,2280243.0,418.54680616740086
2013,4,1,337,22040,22377,7665390.0,347.79446460980034
2013,4,2,6004,41150,47154,23907917.0,580.9943377885784
2013,4,3,1568,18455,20023,12443234.0,674.2473042535898
2013,4,4,5301,50103,55404,27731931.0,553.4984132686666
2013,4,5,664,27837,28501,13670928.0,491.1063692208212
2013,4,6,2010,20010,22020,14187379.0,709.0144427786107
2013,4,7,567,13537,14104,7548212.0,557.5985816650661
2013,4,8,2351,20716,23067,12751503.0,615.5388588530604
2013,4,9,11174,22846,34020,19010845.0,832.1301321894424
2013,4,10,1016,27955,28971,13536147.0,484.2120193167591
2013,4,11,846,29113,29959,13087577.0,449.5440868340604
2013,4,12,4060,13704,17764,11039163.0,805.5431260945709
2013,4,13,2,17,19,13005.0,765.0
2013,4,15,5980,40984,46964,27321148.0,666.6296115557291
2013,4,16,412,18500,18912,5554933.0,300.26664864864864
2013,5,1,814,5797,6611,2723903.0,469.88149042608245
2013,5,2,2351,10675,13026,6258070.0,586.2360655737705
2013,5,3,513,4001,4514,2210188.0,552.408897775556
2013,5,4,1406,5287,6693,3584924.0,678.0639303953093
2013,5,5,937,6165,7102,3783263.0,613.6679643146797
2013,5,6,1321,8042,9363,4873560.0,606.0134294951505
2013,5,7,862,4557,5419,2646353.0,580.7226245336844
2013,5,8,533,3193,3726,1732731.0,542.6655183213279
2013,5,9,441,2096,2537,1384533.0,660.5596374045801
2013,5,10,608,4828,5436,2108652.0,436.75476387738195
2013,5,11,1822,3522,5344,3191600.0,906.1896649630892
2013,6,1,2408,19848,22256,11735704.0,591.2789197904071
2013,6,2,324,3941,4265,1801519.0,457.12230398376045
2013,6,3,184,6117,6301,2333150.0,381.42063102828183
2013,6,4,113,3945,4058,1181400.0,299.467680608365
2013,6,5,205,4033,4238,1482953.0,367.70468633771384
2013,6,6,523,6501,7024,3166907.0,487.14151668974006
2013,6,7,614,5287,5901,2464300.0,466.1055418952147
2013,6,8,396,2621,3017,1680888.0,641.3155284242655
2013,6,9,116,1419,1535,716816.0,505.15574348132486
2013,6,10,1117,11587,12704,4992280.0,430.8518166911194
2013,6,11,176,6686,6862,2146824.0,321.0924319473527
2013,6,12,329,2007,2336,1614307.0,804.3383158943697
2013,6,13,987,4412,5399,2397754.0,543.461922030825
2013,6,15,102,2116,2218,813851.0,384.61767485822304
2013,6,16,673,4851,5524,3456066.0,712.4440321583179
2013,6,17,23,584,607,457015.0,782.5599315068494
2013,6,18,481,2419,2900,1671334.0,690.9193881769327
2013,6,19,239,2489,2728,1174289.0,471.79148252310165
2013,6,20,1207,6020,7227,3640910.0,604.8023255813954
2013,6,21,205,2575,2780,1335889.0,518.7918446601942
2013,6,22,64,650,714,447565.0,688.5615384615385
2013,6,23,310,131,441,233743.0,1784.2977099236641
2013,6,24,15,321,336,223633.0,696.6760124610591
2013,6,25,21,21,42,40722.0,1939.142857142857
2013,6,26,218,36,254,65644.0,1823.4444444444443
2013,6,27,0,2,2,3671.0,1835.5
2013,6,28,13,5,18,9295.0,1859.0
2013,7,1,989,4619,5608,1825210.0,395.1526304394891
2013,7,2,899,1409,2308,1195045.0,848.1511710432931
2013,7,3,863,3603,4466,2277063.0,631.9908409658618
2013,7,4,306,2518,2824,1388258.0,551.3335980937252
2013,7,5,521,1377,1898,1455764.0,1057.199709513435
2013,7,6,1134,954,2088,1016026.0,1065.0167714884697
2013,7,7,2200,8637,10837,3217101.0,372.4789857589441
