year,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days,mean_decision_days
2016,1,1,1874,5380,7254,1104210.0,205.24349442379182
2016,1,2,5234,11487,16721,2633958.0,229.29903369025854
2016,1,3,10649,29623,40272,8618485.0,290.9389663437194
2016,1,4,8772,16187,24959,4008954.0,247.66503984679065
2016,1,5,9269,16262,25531,4196372.0,258.0477186077973
2016,1,7,13446,21636,35082,5544798.0,256.27648363838045
2016,1,8,9366,17829,27195,5646434.0,316.6994222895283
2016,1,9,28874,44873,73747,9388083.0,209.21451652441334
2016,1,10,2538,6319,8857,1942006.0,307.3280582370628
2016,1,11,2692,6425,9117,1953943.0,304.1156420233463
2016,1,12,801,7870,8671,1274264.0,161.9141041931385
2016,1,13,10694,16528,27222,4541476.0,274.7746853823814
2016,1,14,13837,23959,37796,6338352.0,264.5499394799449
2016,1,15,10004,19018,29022,3861602.0,203.04984751288254
2016,1,17,9448,16410,25858,4573155.0,278.68098720292505
2016,1,18,6748,10935,17683,2698699.0,246.79460448102424
2016,1,19,20928,33489,54417,6450098.0,192.6034817402729
2016,1,20,23718,36644,60362,7643527.0,208.58877305970964
2016,1,21,37662,43997,81659,9961499.0,226.41314180512308
2016,1,23,56747,66584,123331,20771444.0,311.95848852577194
2016,1,24,9320,13250,22570,2999395.0,226.36943396226414
2016,1,25,34665,51568,86233,9931877.0,192.59767685386285
2016,1,26,21014,34335,55349,7872835.0,229.29474297364206
2016,1,27,10293,24683,34976,5995418.0,242.89664951586113
2016,1,28,9092,19372,28464,4229191.0,218.31462936196573
2016,1,29,9307,17070,26377,3859644.0,226.1068541300527
2016,1,30,16415,34444,50859,8217847.0,238.58573336430146
2016,1,31,10071,16591,26662,4430710.0,267.05502983545296
2016,1,32,2773,7865,10638,1825897.0,232.15473617291798
2016,1,33,1588,4598,6186,804808.0,175.03436276642017
2016,1,34,13055,16226,29281,4615212.0,284.43313201035375
2016,1,35,8708,18687,27395,4565704.0,244.3251458232996
2016,1,36,4432,8832,13264,2793654.0,316.31046195652175
2016,1,37,13430,30683,44113,5519750.0,179.89603363426002
2016,1,38,3595,3176,6771,1067524.0,336.1221662468514
2016,1,39,1649,1183,2832,575830.0,486.7540152155537
2016,1,40,7731,11199,18930,4030451.0,359.8938298062327
2016,1,41,1325,3874,5199,1177398.0,303.9230769230769
2016,1,42,4702,17768,22470,6481234.0,364.7700360198109
2016,1,43,156,285,441,115766.0,406.19649122807016
2016,2,2,5783,14464,20247,4737342.0,327.5264103982301
2016,2,3,7332,14975,22307,5077569.0,339.0697161936561
2016,2,4,7572,20999,28571,6464886.0,307.8663745892662
2016,2,5,9554,23001,32555,7149401.0,310.830007390983
2016,2,7,3738,12179,15917,3666646.0,301.06297725593237
2016,2,10,7397,12586,19983,4626530.0,367.59335769903066
2016,2,11,7360,25183,32543,8521960.0,338.40130246594924
2016,2,15,4889,9392,14281,3821304.0,406.8679727427598
2016,2,17,7080,12670,19750,4080743.0,322.0791633780584
2016,2,19,2704,4601,7305,1954363.0,424.76918061291025
2016,2,20,8773,18970,27743,6403388.0,337.5534001054296
2016,2,21,3056,6408,9464,2348611.0,366.5123283395755
2016,2,23,6388,16028,22416,5285126.0,329.7433241826803
2016,3,1,14936,50446,65382,10832915.0,214.74279427506642
2016,3,2,4518,17376,21894,3049960.0,175.52716390423572
2016,3,3,7237,18571,25808,3250730.0,175.0433471541651
2016,3,4,5473,25513,30986,3979154.0,155.9657429545722
2016,3,5,5569,26034,31603,4086435.0,156.9653145886149
2016,3,6,4197,18907,23104,4316607.0,228.30734648542867
2016,3,7,3336,10182,13518,1843040.0,181.00962482812807
2016,3,8,1989,7206,9195,1658641.0,230.17499306133777
2016,3,9,5144,27176,32320,4172416.0,153.53311745657933
2016,3,10,3816,16423,20239,3488700.0,212.42769286975582
2016,3,11,4147,15709,19856,3591445.0,228.62340059838309
2016,3,12,6436,33414,39850,5024856.0,150.38175615011673
2016,3,13,3465,18880,22345,4065593.0,215.3386122881356
2016,3,14,4466,19917,24383,3623188.0,181.91434452979865
2016,3,15,7720,32967,40687,5882338.0,178.4310977644311
2016,3,16,3186,24510,27696,2666186.0,108.77951856385148
2016,3,17,4178,16600,20778,3017043.0,181.749578313253
2016,3,18,10274,35599,45873,5628953.0,158.12109890727268
2016,3,19,4989,15319,20308,2859690.0,186.6760232391148
2016,3,20,36732,199369,236101,31877245.0,159.89068009570195
2016,3,21,21308,32351,53659,4251250.0,131.41015733671293
2016,3,22,9035,22987,32022,4598642.0,200.0540305390003
2016,3,23,9612,36374,45986,5762905.0,158.43473360092375
2016,3,24,6845,34937,41782,5909404.0,169.14457451985
2016,3,25,1637,7864,9501,1457329.0,185.31650559511698
2016,3,26,15923,45338,61261,8647722.0,190.73893863866954
2016,3,27,3002,12025,15027,1997326.0,166.09779625779626
2016,3,28,5189,9283,14472,1783649.0,192.14144134439297
2016,3,29,5817,14049,19866,2656750.0,189.10598619118798
2016,3,30,1531,7325,8856,1339729.0,182.89815699658703
2016,4,1,2647,17496,20143,4248427.0,242.82275948788293
2016,4,2,25080,45767,70847,15023925.0,328.2698232350821
2016,4,3,7361,48361,55722,9399417.0,194.35944252600237
2016,4,4,29209,56914,86123,19336665.0,339.7523456443054
2016,4,5,5709,52529,58238,11620567.0,221.22193455043882
2016,4,6,12284,58967,71251,13415123.0,227.50221310224362
2016,4,7,3640,13873,17513,5162857.0,372.15144525336984
2016,4,8,8589,43216,51805,9438029.0,218.39200758978157
2016,4,9,39952,49572,89524,17274661.0,348.47617606713465
2016,4,10,9893,68990,78883,16859913.0,244.3819828960719
2016,4,11,8285,33764,42049,9094420.0,269.3525648619832
2016,4,12,19297,31615,50912,7990818.0,252.75400917286098
2016,4,13,36,2,38,816.0,408.0
2016,4,15,44824,55669,100493,14711084.0,264.2598932978857
2016,4,16,2341,13937,16278,3106654.0,222.9069383655019
2016,5,1,2829,5592,8421,1537097.0,274.87428469241775
2016,5,2,6801,9087,15888,2981032.0,328.0545834708925
2016,5,3,1878,5608,7486,1204173.0,214.7241440798859
2016,5,4,3267,12392,15659,1781746.0,143.78195610071015
2016,5,5,4272,9193,13465,2362434.0,256.9818340041336
2016,5,6,4322,10990,15312,2340208.0,212.93976342129207
2016,5,7,1917,6057,7974,1183412.0,195.37923064223213
2016,5,8,1097,6995,8092,860687.0,123.04317369549679
2016,5,9,1220,2401,3621,625827.0,260.65264473136193
2016,5,10,2397,5112,7509,984789.0,192.64260563380282
2016,5,11,3821,3737,7558,1651237.0,441.86165373294085
2016,6,1,8039,18975,27014,5563375.0,293.1949934123847
2016,6,2,814,3619,4433,1224951.0,338.4777562862669
2016,6,3,676,6461,7137,1650325.0,255.42872620337408
2016,6,4,1563,3081,4644,924120.0,299.9415774099318
2016,6,5,794,2849,3643,618891.0,217.23095823095824
2016,6,6,1401,12151,13552,1653128.0,136.04872026993664
2016,6,7,1648,10775,12423,2260378.0,209.77986078886312
2016,6,8,1368,3300,4668,1098740.0,332.95151515151514
2016,6,9,542,1309,1851,491852.0,375.746371275783
2016,6,10,4446,12805,17251,3425590.0,267.5197188598204
2016,6,11,1055,5660,6715,1609489.0,284.3620141342756
2016,6,12,1177,3347,4524,1286816.0,384.46847923513593
2016,6,13,3357,4934,8291,1389828.0,281.68382650993107
2016,6,15,570,4727,5297,1119051.0,236.735984768352
2016,6,16,2906,3482,6388,1390437.0,399.3213670304423
2016,6,17,197,1689,1886,493688.0,292.2960331557134
2016,6,18,1386,2433,3819,994377.0,408.7040690505549
2016,6,19,813,2536,3349,726871.0,286.6210567823344
2016,6,20,2181,5258,7439,1792880.0,340.9813617344998
2016,6,21,1266,3957,5223,1025749.0,259.2239070002527
2016,6,22,389,1602,1991,647440.0,404.1448189762796
2016,6,23,1548,882,2430,506992.0,574.8208616780046
2016,6,24,107,581,688,252619.0,434.80034423407915
2016,6,25,388,414,802,270588.0,653.5942028985507
2016,6,26,369,80,449,60033.0,750.4125
2016,6,27,4,5,9,3869.0,773.8
2016,6,28,16,11,27,8892.0,808.3636363636364
2016,7,1,1536,3585,5121,833036.0,232.36708507670852
2016,7,2,1748,2470,4218,562843.0,227.87165991902833
2016,7,3,1647,3472,5119,781410.0,225.06048387096774
2016,7,4,738,2349,3087,562390.0,239.416773094934
2016,7,5,1166,2049,3215,563630.0,275.0756466569058
2016,7,6,1231,2304,3535,414462.0,179.88802083333334
2016,7,7,2987,5430,8417,1117126.0,205.73222836095763
2016,7,8,640,1889,2529,462920.0,245.06087877183694
2016,7,9,4309,9763,14072,2216479.0,227.02847485404075
2016,7,10,2954,4459,7413,1050663.0,235.62749495402556
2016,7,11,4456,7678,12134,1976819.0,257.4653555613441
2016,7,12,853,2222,3075,488975.0,220.06075607560757
2016,7,13,1240,2983,4223,442480.0,148.3338920549782
2016,7,14,837,1960,2797,437151.0,223.03622448979593
2016,7,15,1601,2800,4401,639999.0,228.57107142857143
2016,7,16,2774,3797,6571,1070233.0,281.86278641032396
2016,7,17,2486,4261,6747,967839.0,227.13893452241257
2016,7,18,297,1269,1566,299911.0,236.33648542159182
