year,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days
2012,6,23,156,95,251,217593.0
2012,6,24,8,439,447,423194.0
2012,6,25,10,21,31,50012.0
2012,6,26,176,65,241,149475.0
2012,6,27,0,1,1,2064.0
2012,6,28,2,3,5,7114.0
2012,7,1,207,4507,4714,2556097.0
2012,7,2,361,1417,1778,1854608.0
2012,7,3,327,2587,2914,2784159.0
2012,7,4,130,1594,1724,1648446.0
2012,7,5,250,1577,1827,1867399.0
2012,7,6,713,1462,2175,1942551.0
2012,7,7,1256,7373,8629,4382536.0
2012,7,8,27,1078,1105,922285.0
2012,7,9,1494,12376,13870,8126601.0
2012,7,10,1362,2869,4231,3774335.0
2012,7,11,1276,5376,6652,6680138.0
2012,7,12,129,1794,1923,1193982.0
2012,7,13,227,1537,1764,2180546.0
2012,7,14,238,965,1203,1281701.0
2012,7,15,230,1182,1412,1255219.0
2012,7,16,262,2197,2459,2745260.0
2012,7,17,817,3234,4051,3990477.0
2012,7,18,9,630,639,544937.0
2012,7,19,151,1734,1885,1437468.0
2012,7,20,987,2281,3268,2970489.0
2012,7,21,39,1572,1611,1129412.0
2012,7,22,1568,4097,5665,7313622.0
2012,7,23,1,358,359,866339.0
2012,7,24,0,146,146,344485.0
2012,8,1,12324,17237,29561,8121954.0
2012,8,2,2321,4386,6707,4467923.0
2012,8,3,5067,5821,10888,8190957.0
2012,8,4,1496,4697,6193,5697622.0
2012,8,5,3690,5412,9102,5685132.0
2012,8,6,2601,4108,6709,5568863.0
2012,8,7,2066,1168,3234,1365921.0
2012,8,9,3680,5437,9117,8007926.0
2012,8,10,4441,2551,6992,4585026.0
2012,8,11,1991,1636,3627,1905538.0
2012,8,12,1994,1736,3730,2519799.0
2012,8,13,3337,3851,7188,5058076.0
2012,8,14,1928,1702,3630,2002246.0
2012,8,15,2565,1434,3999,1894571.0
2012,8,16,590,2929,3519,4147615.0
2012,8,17,4359,6555,10914,9403336.0
2012,8,18,3886,4401,8287,6287986.0
2012,8,19,1722,859,2581,1360628.0
2012,8,20,577,737,1314,1110216.0
2012,8,21,2656,1204,3860,1664779.0
2012,8,22,2638,1363,4001,2024125.0
2012,8,23,4146,3520,7666,5257275.0
2012,8,24,2881,2672,5553,3562045.0
2012,8,25,960,865,1825,1261172.0
2012,8,26,2571,2371,4942,3044273.0
2012,8,27,251,1652,1903,2667616.0
2012,8,28,5284,2300,7584,2884883.0
2012,8,29,5042,2352,7394,3915605.0
2012,8,30,4498,1093,5591,1856213.0
2012,8,31,2585,1503,4088,2476544.0
2012,8,33,3265,223,3488,514680.0
2012,8,34,3713,1241,4954,2468910.0
2012,8,35,4111,240,4351,585794.0
2012,8,36,1582,169,1751,426719.0
2012,8,37,251,63,314,154240.0
2012,8,38,6360,574,6934,1422257.0
2012,8,39,3820,228,4048,559182.0
2012,9,1,491,7711,8202,4301959.0
2012,9,2,4188,16096,20284,16034266.0
2012,9,3,957,4769,5726,4804790.0
2012,9,4,10522,35936,46458,37576052.0
2012,9,5,876,5702,6578,5784645.0
2012,9,6,2117,6879,8996,6426248.0
2012,9,7,1875,12763,14638,10087116.0
2012,9,8,1264,8370,9634,8256090.0
2012,9,9,2362,11132,13494,9789149.0
2012,9,10,610,8525,9135,4796288.0
2012,9,11,1275,6807,8082,7271892.0
2012,9,12,866,6196,7062,3874512.0
2012,9,13,1189,10151,11340,9237224.0
2012,9,14,2618,14637,17255,13527938.0
2012,9,18,1046,6141,7187,6978239.0
2012,9,19,1910,8825,10735,7464579.0
2012,9,20,3147,12642,15789,12880191.0
2012,9,21,653,3398,4051,3202428.0
2012,9,22,871,4472,5343,4471232.0
2012,9,23,198,3025,3223,2934253.0
2012,9,24,58,2754,2812,2298006.0
2012,9,25,477,3340,3817,3604521.0
2012,9,26,683,4182,4865,4014112.0
2012,9,27,933,3137,4070,3457491.0
2012,9,28,2796,4846,7642,5722977.0
2012,9,29,951,3758,4709,3662071.0
2012,9,30,1416,6930,8346,6815771.0
2012,9,31,1698,8010,9708,9003439.0
2012,9,32,162,1461,1623,1341531.0
2012,9,33,1169,4986,6155,4267282.0
2012,9,34,556,1735,2291,2009909.0
2012,9,35,2214,7986,10200,8553733.0
2012,9,36,433,4815,5248,4611534.0
2012,9,38,674,6754,7428,6107175.0
2012,9,39,1407,2191,3598,2697703.0
2012,9,40,13,15213,15226,17241333.0
2012,10,1,424,3429,3853,3430175.0
2012,10,2,432,3368,3800,3738729.0
2012,10,3,1062,15840,16902,13674856.0
2012,10,4,520,5203,5723,4533593.0
2012,10,5,283,5568,5851,5274177.0
2012,10,6,169,2574,2743,2520349.0
2012,10,7,1089,6494,7583,7056593.0
2012,10,8,1236,12416,13652,8900280.0
2012,10,9,645,5719,6364,5048903.0
2012,10,10,1132,10426,11558,9677379.0
2012,10,11,1266,15502,16768,9923473.0
2012,10,12,1561,13613,15174,11672102.0
2012,10,13,2701,28249,30950,22441831.0
2012,10,14,694,6011,6705,5892538.0
2012,10,15,1363,8619,9982,10056759.0
2012,10,16,100,1999,2099,1484183.0
2012,10,17,920,7212,8132,7499279.0
2012,10,18,1316,16365,17681,13802281.0
2012,10,19,277,3536,3813,2877650.0
2012,10,20,818,9541,10359,9835760.0
2012,10,21,228,2086,2314,2033657.0
2012,10,22,596,5742,6338,6755766.0
2012,10,23,300,2044,2344,1809902.0
2012,10,24,487,7492,7979,6676348.0
2012,10,25,231,3968,4199,3152655.0
2012,10,26,487,3496,3983,3579030.0
2012,10,27,1338,5084,6422,6910198.0
2012,10,28,835,5222,6057,5140635.0
2012,10,29,529,3182,3711,3023602.0
2012,10,30,254,2172,2426,2406636.0
2012,10,31,2077,8404,10481,9803075.0
2012,10,32,1714,4011,5725,5861384.0
2012,10,33,1259,5989,7248,8911631.0
2012,11,1,3200,9487,12687,8820292.0
2012,11,2,1530,2019,3549,2458659.0
2012,11,3,331,1857,2188,2060079.0
2012,11,4,2546,4895,7441,5996852.0
2012,11,5,4884,7363,12247,8449236.0
2012,11,6,867,2695,3562,2935080.0
2012,11,7,1520,3036,4556,3498084.0
2012,11,8,5932,4962,10894,6411873.0
2012,11,9,119,2714,2833,2302945.0
2012,11,10,434,1707,2141,1908063.0
2012,11,11,1108,1081,2189,1794093.0
2012,11,12,372,240,612,288275.0
2012,11,13,2140,2893,5033,3740182.0
2012,11,14,1577,2112,3689,3299361.0
2012,11,15,3360,3311,6671,4225576.0
2012,11,16,3107,3630,6737,4644187.0
2012,11,17,1276,1830,3106,2237684.0
2012,11,18,2460,2511,4971,3070731.0
2012,11,19,1824,1518,3342,1987078.0
2012,11,20,444,1044,1488,1317860.0
2012,11,21,489,3812,4301,5053467.0
2012,11,22,895,1287,2182,1657383.0
2012,11,23,373,1509,1882,1594022.0
2012,11,24,298,1061,1359,940921.0
2012,11,26,2094,1370,3464,1983198.0
2012,11,27,3038,2797,5835,4525867.0
2012,11,29,1298,3441,4739,4566619.0
2012,11,30,156,565,721,944251.0
2012,11,31,76,189,265,198378.0
2012,11,32,564,822,1386,917856.0
2012,12,1,115,1215,1330,1171260.0
2012,12,2,130,1660,1790,1066850.0
2012,12,3,443,1006,1449,935590.0
2012,12,4,246,1478,1724,995216.0
2012,12,5,1328,5723,7051,3325467.0
2012,12,6,127,1825,1952,908644.0
2012,12,7,114,396,510,384369.0
2012,12,8,288,1600,1888,852157.0
2012,12,9,41,686,727,343229.0
2012,12,10,368,909,1277,770808.0
2012,12,11,499,563,1062,505006.0
2012,12,12,69,1472,1541,616653.0
2012,12,13,200,222,422,460143.0
2012,12,14,28,468,496,213838.0
2012,12,15,62,511,573,322221.0
2012,12,16,3,1,4,1880.0
2012,12,17,1,6,7,12340.0
2012,12,18,298,303,601,241232.0
2012,12,19,1599,973,2572,2074770.0
2012,12,20,198,580,778,393239.0
2012,12,21,121,137,258,318275.0
2012,12,22,45,903,948,346467.0
2012,13,1,13159,20337,33496,16126527.0
2012,13,2,6495,12985,19480,11374701.0
2012,13,3,7798,12319,20117,11264774.0
2012,13,4,3197,11792,14989,11010314.0
2012,13,5,510,3196,3706,3069195.0
2012,13,6,5260,29910,35170,18965104.0
2012,13,7,4858,11949,16807,11906177.0
2012,13,8,7942,22960,30902,19348901.0
2012,13,9,3913,10945,14858,5949263.0
2012,13,10,3401,9972,13373,13187720.0
2012,13,11,950,2435,3385,3350811.0
2012,13,12,9770,15798,25568,11959536.0
2012,13,13,2743,7960,10703,4727398.0
2012,13,14,4531,6450,10981,6752972.0
2012,13,15,1344,6501,7845,5819451.0
2012,13,16,6075,23895,29970,11111559.0
2012,13,17,2346,2621,4967,2624525.0
2012,13,18,2462,12548,15010,8680284.0
2012,13,19,9817,17270,27087,19006896.0
2012,13,20,4584,9526,14110,10930794.0
2012,13,21,4915,4915,9830,6448361.0
2012,13,22,2169,5327,7496,4605934.0
2012,13,23,2117,6913,9030,5140713.0
2012,13,24,15160,23173,38333,25256554.0
2012,13,25,1123,8144,9267,8196258.0
2012,13,26,1960,11739,13699,9745329.0
2012,13,27,5344,25264,30608,17711507.0
2012,13,28,4085,6205,10290,5827712.0
2012,13,29,15290,13785,29075,12354162.0
2012,13,30,5780,9313,15093,10220078.0
2012,13,31,3165,9848,13013,12314907.0
2012,13,33,1195,5791,6986,5286367.0
2012,13,34,5137,7059,12196,8722337.0
2012,13,35,886,7024,7910,5108576.0
2012,13,36,1545,13383,14928,9811832.0
2012,13,37,5686,6922,12608,6348517.0
2012,13,38,570,5673,6243,4367650.0
2012,13,39,1370,5914,7284,5393859.0
2012,13,40,798,3865,4663,5140958.0
2012,13,41,8856,10885,19741,15233791.0
2012,13,42,2141,5791,7932,7187729.0
2012,13,43,5113,13265,18378,13172124.0
2012,13,44,5404,19834,25238,25808140.0
2012,13,45,1793,8642,10435,7531438.0
2012,13,46,2154,4856,7010,6041139.0
2012,13,47,2353,7172,9525,7662770.0
2012,13,48,3105,10365,13470,9383065.0
2012,13,49,3927,11870,15797,11669885.0
2012,13,50,4900,3025,7925,5023950.0
2012,13,51,1782,6856,8638,8516183.0
2012,13,52,2439,3065,5504,4304866.0
2012,13,53,3542,14584,18126,12878640.0
2012,13,54,3758,13262,17020,10788310.0
2012,13,55,1958,6478,8436,8587531.0
2012,13,56,2666,19305,21971,12145262.0
2012,13,57,3533,15300,18833,11318677.0
2012,13,58,2811,6524,9335,7065227.0
2012,13,59,1373,3767,5140,3399998.0
2012,13,60,3023,5154,8177,6149862.0
2012,13,61,4154,8141,12295,9781573.0
2012,13,62,3209,8931,12140,11418409.0
2012,13,63,2648,4312,6960,4127299.0
2012,13,64,832,3956,4788,2859263.0
2012,13,65,1484,5787,7271,5205217.0
2012,13,66,2765,9787,12552,9194497.0
2012,13,67,1578,3576,5154,4083912.0
2012,13,68,2588,9495,12083,5374779.0
2012,13,69,1403,2966,4369,3501052.0
2012,13,70,331,5315,5646,5298021.0
2012,13,71,1060,2922,3982,3807687.0
2012,13,73,1400,1853,3253,2637153.0
2012,13,74,165,1073,1238,1907780.0
2012,13,75,476,145,621,361104.0
2012,13,76,15,1377,1392,3066317.0
2012,14,1,58,18214,18272,10749471.0
2012,14,2,47,14985,15032,6781623.0
2012,14,3,132,14119,14251,9647898.0
2012,14,4,210,14854,15064,10582680.0
2012,14,5,142,10115,10257,9930832.0
2012,14,6,376,12979,13355,10403222.0
2012,14,7,35,14653,14688,10708575.0
2012,14,8,36,6683,6719,5466913.0
2012,14,9,29,7795,7824,5092732.0
2012,14,10,52,12163,12215,7131398.0
2012,14,11,26,9863,9889,7294326.0
2012,14,12,57,11541,11598,7166471.0
2012,14,13,87,12956,13043,9449063.0
2012,14,14,76,6096,6172,4117034.0
2012,14,15,8,7046,7054,3430569.0
2012,14,16,28,9229,9257,5541378.0
2012,14,17,16,8552,8568,7332983.0
2012,14,18,76,10213,10289,7901488.0
2012,14,19,25,3625,3650,3499648.0
2012,14,20,75,11884,11959,9076310.0
2012,14,23,26,4569,4595,4552798.0
2012,15,1,150,3300,3450,2745911.0
2012,15,2,30,1158,1188,1145888.0
2012,15,3,19,843,862,444787.0
2012,15,4,1117,8597,9714,7146070.0
2012,15,5,2062,26519,28581,18781171.0
2012,15,6,3,487,490,283587.0
2012,15,7,5,1206,1211,349325.0
2012,15,8,5,1000,1005,329025.0
2012,15,9,1474,12655,14129,8419303.0
2012,15,13,2,1080,1082,327131.0
2012,15,14,1,729,730,143105.0
2012,15,15,3,559,562,272059.0
2012,16,1,1000,8378,9378,3061472.0
2012,16,2,2653,7977,10630,8265039.0
2012,16,3,3776,9065,12841,6525882.0
2012,16,4,3238,8809,12047,4611740.0
2012,16,6,1536,6893,8429,3756973.0
2012,16,7,1965,4723,6688,5276397.0
2012,16,8,1851,4129,5980,4052569.0
2012,16,9,2496,3889,6385,5304435.0
2012,16,10,837,1669,2506,2218534.0
2012,16,11,2980,17090,20070,10474039.0
2012,16,12,5707,12893,18600,8932449.0
2012,16,13,780,2945,3725,2892465.0
2012,16,14,7381,15930,23311,11182112.0
2012,16,17,1101,2154,3255,1685626.0
2012,16,18,1752,4764,6516,3969705.0
2012,16,19,1189,4308,5497,4219253.0
2012,16,20,11030,13358,24388,15885103.0
2012,16,21,894,4256,5150,3011039.0
2012,16,22,4467,13262,17729,5996192.0
2012,16,23,0,233,233,133461.0
2012,16,24,0,1610,1610,2573016.0
2012,16,25,0,439,439,602312.0
2012,17,11,1911,15537,17448,10633384.0
2012,17,13,12818,40941,53759,30565003.0
2012,17,14,3972,38181,42153,37762829.0
2012,17,15,1255,23547,24802,16404253.0
2012,17,16,2333,30170,32503,19576519.0
2012,17,17,365,4584,4949,3624893.0
2012,17,18,814,14458,15272,13535082.0
2012,17,19,833,12581,13414,9752672.0
2012,17,20,897,24910,25807,9643270.0
2012,17,21,891,11262,12153,9987743.0
2012,17,22,747,5553,6300,6445194.0
2012,17,23,1153,12264,13417,9379567.0
2012,17,24,766,15972,16738,9085232.0
2012,17,25,1080,17178,18258,10267189.0
2012,17,26,1599,13054,14653,9816521.0
2012,17,27,1127,11534,12661,9794194.0
2012,17,28,309,9847,10156,5784643.0
2012,17,29,528,11149,11677,7444257.0
2012,17,30,460,11672,12132,7391549.0
2012,17,31,3951,24962,28913,27726140.0
2012,17,32,642,11374,12016,3708654.0
2012,17,33,85,2427,2512,1815516.0
2012,17,34,116,3384,3500,2186621.0
2012,17,35,726,7780,8506,6638823.0
2012,17,36,219,6165,6384,3301537.0
2012,17,37,668,10744,11412,6703101.0
2012,17,38,367,4849,5216,3267224.0
2012,17,39,271,4940,5211,2839705.0
2012,17,40,251,4015,4266,2346754.0
2012,17,41,451,3874,4325,2681691.0
2012,17,42,236,1736,1972,1618059.0
2012,17,43,0,1499,1499,1008701.0
2012,18,1,65,1929,1994,1514159.0
2012,18,2,315,10088,10403,8914125.0
2012,18,3,1799,18576,20375,17481876.0
2012,18,4,190,7318,7508,7220169.0
2012,18,5,20,1531,1551,1085737.0
2012,18,6,313,6666,6979,6199311.0
2012,18,7,646,5047,5693,6004953.0
2012,18,9,7,4444,4451,1373148.0
2012,18,10,87,3718,3805,3602996.0
2012,18,11,53,1361,1414,868204.0
2012,18,12,15,2084,2099,1618578.0
2012,18,13,2,1938,1940,1524542.0
2012,18,15,31,3626,3657,2134393.0
2012,18,16,10,226,236,391916.0
2012,18,17,2,81,83,144024.0
2012,18,18,58,690,748,1377881.0
2012,18,19,12,166,178,255885.0
2012,18,20,10,378,388,711455.0
2012,18,21,168,992,1160,2081764.0
2012,18,22,2,239,241,399184.0
2012,18,23,7,819,826,1426022.0
2012,18,24,12,275,287,452059.0
2012,18,25,11,537,548,845036.0
2012,19,1,32,1597,1629,336306.0
2012,19,2,119,118,237,28691.0
2012,20,1,145,4820,4965,2819510.0
2012,20,2,76,1027,1103,711390.0
2012,20,3,36,347,383,426902.0
2012,20,5,19,1388,1407,527665.0
2012,20,6,17,1420,1437,921204.0
2012,20,9,242,997,1239,1187281.0
2012,20,10,19,282,301,263398.0
2012,20,11,0,67,67,96764.0
2012,21,1,217,2407,2624,1441028.0
2012,21,2,21,31,52,66568.0
2012,21,3,9,1,10,2594.0
2012,21,4,0,6,6,13515.0
2012,21,5,0,27,27,69257.0
2012,22,1,1052,35169,36221,23778185.0
2012,22,2,280,32648,32928,15916569.0
2012,22,3,119,7942,8061,5691878.0
2012,22,4,65,6863,6928,4179055.0
2012,22,5,202,20066,20268,11060669.0
2012,22,6,30,9995,10025,5867371.0
2012,22,8,278,25230,25508,14895326.0
2012,22,9,62,5371,5433,3520174.0
2012,22,10,99,7862,7961,7593443.0
2012,22,11,64,9676,9740,5327539.0
2012,22,12,35,5537,5572,4768401.0
2012,22,13,18,5886,5904,3214781.0
2012,22,14,29,4084,4113,2944389.0
2012,22,15,45,7252,7297,3528060.0
2012,22,16,18,4294,4312,3010813.0
