year,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days
2018,1,1,5123,5046,10169,360799.0
2018,1,2,10761,8268,19029,601797.0
2018,1,3,18604,25610,44214,2590414.0
2018,1,4,19564,11335,30899,736626.0
2018,1,5,17109,11802,28911,806351.0
2018,1,7,20022,16770,36792,1527983.0
2018,1,8,21955,8802,30757,1001814.0
2018,1,9,35676,48484,84160,3089389.0
2018,1,10,6696,6964,13660,469382.0
2018,1,11,6475,4861,11336,470522.0
2018,1,12,3427,4476,7903,400470.0
2018,1,13,18439,14114,32553,674599.0
2018,1,14,26063,17988,44051,1239900.0
2018,1,15,16442,14300,30742,953925.0
2018,1,17,17172,10029,27201,838989.0
2018,1,18,13114,6782,19896,514837.0
2018,1,19,25502,25417,50919,1512541.0
2018,1,20,32308,22972,55280,1796584.0
2018,1,21,52538,28525,81063,2451945.0
2018,1,23,68215,60769,128984,7171515.0
2018,1,24,14408,13803,28211,872005.0
2018,1,25,50195,36143,86338,1946426.0
2018,1,26,35723,24294,60017,1433113.0
2018,1,27,22129,18346,40475,1507840.0
2018,1,28,16682,12717,29399,876178.0
2018,1,29,14970,11328,26298,702617.0
2018,1,30,33561,24143,57704,1629094.0
2018,1,31,18282,33788,52070,1299745.0
2018,1,32,6334,5430,11764,425411.0
2018,1,33,3370,3257,6627,275126.0
2018,1,34,22888,12681,35569,1042541.0
2018,1,35,16447,15916,32363,1230526.0
2018,1,36,8201,5325,13526,509042.0
2018,1,37,22141,24461,46602,1574190.0
2018,1,38,3688,1429,5117,235980.0
2018,1,39,2174,791,2965,101221.0
2018,1,40,15219,5537,20756,968781.0
2018,1,41,3201,2798,5999,489988.0
2018,1,42,15932,8086,24018,1681148.0
2018,1,43,266,67,333,20238.0
2018,2,2,12865,9039,21904,1003300.0
2018,2,3,14495,7679,22174,1010842.0
2018,2,4,18860,15235,34095,1521274.0
2018,2,5,20738,12087,32825,1453774.0
2018,2,7,11106,11241,22347,888941.0
2018,2,10,16232,8391,24623,1003810.0
2018,2,11,21511,20344,41855,1778235.0
2018,2,15,9865,5440,15305,769239.0
2018,2,17,11883,8263,20146,738203.0
2018,2,19,4844,6397,11241,533686.0
2018,2,20,16825,19860,36685,1385285.0
2018,2,21,6037,4914,10951,431090.0
2018,2,23,13710,10056,23766,1248151.0
2018,3,1,36511,46526,83037,3058515.0
2018,3,2,10887,12496,23383,833386.0
2018,3,3,11942,15341,27283,1011704.0
2018,3,4,12340,16417,28757,1100554.0
2018,3,5,9991,18242,28233,1095033.0
2018,3,6,9778,12806,22584,1042024.0
2018,3,7,8379,9256,17635,625837.0
2018,3,8,5372,9670,15042,602861.0
2018,3,9,12431,25634,38065,1152783.0
2018,3,10,10443,12124,22567,923804.0
2018,3,11,10161,11007,21168,755732.0
2018,3,12,14044,29920,43964,1588028.0
2018,3,13,10237,15946,26183,1214875.0
2018,3,14,10292,18421,28713,1047541.0
2018,3,15,15679,19670,35349,1452681.0
2018,3,16,8062,14086,22148,755377.0
2018,3,17,8787,12521,21308,859349.0
2018,3,18,19277,28049,47326,1348939.0
2018,3,19,9303,12126,21429,905434.0
2018,3,20,63030,151244,214274,11467554.0
2018,3,21,26202,28811,55013,984241.0
2018,3,22,17751,17212,34963,1254710.0
2018,3,23,18164,21650,39814,1216858.0
2018,3,24,16527,35200,51727,2690428.0
2018,3,25,2697,7594,10291,727410.0
2018,3,26,28524,30769,59293,2353477.0
2018,3,27,8109,7966,16075,604444.0
2018,3,28,8815,6567,15382,436410.0
2018,3,29,10072,11145,21217,716776.0
2018,3,30,3328,5964,9292,437411.0
2018,4,1,6324,9826,16150,1357241.0
2018,4,2,35700,43503,79203,8640811.0
2018,4,3,14598,32825,47423,3336977.0
2018,4,4,32023,35951,67974,6044667.0
2018,4,5,15952,27243,43195,4916666.0
2018,4,6,22482,49178,71660,7063439.0
2018,4,7,9437,11758,21195,1539433.0
2018,4,8,21004,22172,43176,4438730.0
2018,4,9,60850,39225,100075,7061279.0
2018,4,10,28626,43849,72475,5734884.0
2018,4,11,10686,16885,27571,3083812.0
2018,4,12,22198,15671,37869,2305351.0
2018,4,15,38688,25997,64685,4661673.0
2018,4,16,2995,9966,12961,1436373.0
2018,5,1,6679,7799,14478,471839.0
2018,5,2,14480,22592,37072,1100805.0
2018,5,3,5881,15787,21668,534404.0
2018,5,4,7443,21570,29013,705619.0
2018,5,5,9691,28739,38430,989274.0
2018,5,6,10203,26371,36574,833672.0
2018,5,7,5177,9004,14181,312714.0
2018,5,8,3259,16409,19668,426537.0
2018,5,9,3792,5937,9729,251017.0
2018,5,10,6268,21859,28127,897421.0
2018,5,11,14677,51578,66255,2030847.0
2018,6,1,15518,29280,44798,1241570.0
2018,6,2,3403,4716,8119,379295.0
2018,6,3,1941,2177,4118,196264.0
2018,6,4,4593,3774,8367,375939.0
2018,6,5,3338,1917,5255,211770.0
2018,6,6,4681,4914,9595,426513.0
2018,6,7,4311,6540,10851,583160.0
2018,6,8,3962,2530,6492,389060.0
2018,6,9,2565,1562,4127,286047.0
2018,6,10,10735,7230,17965,690359.0
2018,6,11,4130,6171,10301,749948.0
2018,6,12,2927,2360,5287,220132.0
2018,6,13,4702,4478,9180,470509.0
2018,6,15,2828,1995,4823,246743.0
2018,6,16,5059,6238,11297,598532.0
2018,6,17,993,2261,3254,204982.0
2018,6,18,3462,6354,9816,389694.0
2018,6,19,2116,3225,5341,250393.0
2018,6,20,3841,3829,7670,317307.0
2018,6,21,3270,3338,6608,289553.0
2018,6,22,1610,1397,3007,130405.0
2018,6,23,3099,1120,4219,213609.0
2018,6,24,515,2099,2614,154457.0
2018,6,25,695,936,1631,268594.0
2018,6,26,2068,2509,4577,170340.0
2018,6,27,1876,764,2640,183320.0
2018,6,28,537,276,813,27217.0
2018,7,1,3637,7949,11586,310251.0
2018,7,2,2451,6969,9420,123436.0
2018,7,3,2786,6757,9543,182745.0
2018,7,4,1592,3900,5492,154914.0
2018,7,5,1814,4720,6534,158369.0
2018,7,6,3398,8512,11910,241994.0
2018,7,7,4056,12200,16256,370702.0
2018,7,8,1449,2852,4301,139787.0
2018,7,9,9897,22538,32435,821571.0
2018,7,10,5355,14686,20041,415578.0
2018,7,11,7543,21063,28606,518394.0
2018,7,12,1660,4540,6200,143052.0
2018,7,13,3515,8580,12095,242965.0
2018,7,14,1548,3582,5130,116464.0
2018,7,15,1898,3914,5812,139805.0
2018,7,16,4205,6616,10821,360442.0
