year,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days
2014,1,1,830,5874,6704,2456225.0
2014,1,2,2955,13430,16385,5987674.0
2014,1,3,5630,35977,41607,18178553.0
2014,1,4,5095,17472,22567,8821071.0
2014,1,5,4340,16953,21293,8598506.0
2014,1,7,6164,26583,32747,14451763.0
2014,1,8,2085,21533,23618,9259994.0
2014,1,9,14059,47187,61246,16411393.0
2014,1,10,1005,7049,8054,4293906.0
2014,1,11,1460,5949,7409,3181984.0
2014,1,12,214,5783,5997,1613947.0
2014,1,13,3450,12668,16118,6525298.0
2014,1,14,6646,28937,35583,15097861.0
2014,1,15,5579,17748,23327,8909027.0
2014,1,17,4595,19674,24269,10302908.0
2014,1,18,3907,14348,18255,7321843.0
2014,1,19,9915,40525,50440,14481814.0
2014,1,20,13663,34334,47997,16773057.0
2014,1,21,22857,43751,66608,21508595.0
2014,1,23,21602,81328,102930,45100087.0
2014,1,24,6163,13711,19874,6113904.0
2014,1,25,24718,52565,77283,23459920.0
2014,1,26,11957,41578,53535,21624247.0
2014,1,27,5234,28040,33274,13579520.0
2014,1,28,4143,19109,23252,9159918.0
2014,1,29,5775,22561,28336,11343797.0
2014,1,30,8313,35354,43667,16685329.0
2014,1,31,4992,20599,25591,10532563.0
2014,1,32,1256,7912,9168,3631809.0
2014,1,33,731,4820,5551,1334991.0
2014,1,34,7008,21537,28545,12165506.0
2014,1,35,4120,20251,24371,9050525.0
2014,1,36,1849,9119,10968,4857228.0
2014,1,37,6480,36610,43090,12108178.0
2014,1,38,2582,4465,7047,2411258.0
2014,1,39,857,1548,2405,1173859.0
2014,1,40,3565,14881,18446,9847068.0
2014,1,41,558,2883,3441,1493153.0
2014,1,42,1086,22356,23442,10900395.0
2014,1,43,92,204,296,141142.0
2014,2,2,1914,19650,21564,9102159.0
2014,2,3,3020,17488,20508,9355010.0
2014,2,4,2533,21267,23800,11265795.0
2014,2,5,2800,29693,32493,13690864.0
2014,2,7,1422,11565,12987,5763126.0
2014,2,10,2377,14225,16602,8527279.0
