year,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days
2017,1,1,3352,6125,9477,964208.0
2017,1,2,6963,10529,17492,1585878.0
2017,1,3,11810,29495,41305,6847325.0
2017,1,4,13973,16519,30492,2426486.0
2017,1,5,13123,14340,27463,2210673.0
2017,1,7,16286,20372,36658,3598116.0
2017,1,8,15791,15697,31488,3378593.0
2017,1,9,26902,55868,82770,7060628.0
2017,1,10,4176,9206,13382,1255525.0
2017,1,11,4398,7056,11454,1483836.0
2017,1,12,1635,5989,7624,930278.0
2017,1,13,14676,19252,33928,2269798.0
2017,1,14,19556,21425,40981,3266422.0
2017,1,15,13563,16871,30434,2420256.0
2017,1,17,12230,13335,25565,2353504.0
2017,1,18,9565,9435,19000,1510123.0
2017,1,19,25259,28371,53630,3394130.0
2017,1,20,29906,25117,55023,3965612.0
2017,1,21,42317,35059,77376,5483611.0
2017,1,23,59310,74653,133963,16205421.0
2017,1,24,11008,13929,24937,1940218.0
2017,1,25,40983,43460,84443,5489256.0
2017,1,26,26798,31488,58286,4468735.0
2017,1,27,14670,25380,40050,3800278.0
2017,1,28,12515,15750,28265,2187341.0
2017,1,29,11416,14536,25952,2114993.0
2017,1,30,26243,29952,56195,4843597.0
2017,1,31,12935,17575,30510,2966386.0
2017,1,32,4068,6894,10962,1258789.0
2017,1,33,1923,4161,6084,587710.0
2017,1,34,15505,14610,30115,3492554.0
2017,1,35,9955,15395,25350,2794660.0
2017,1,36,5721,6918,12639,1377310.0
2017,1,37,16431,26935,43366,3633665.0
2017,1,38,3555,2488,6043,670114.0
2017,1,39,1867,913,2780,340572.0
2017,1,40,9817,8974,18791,2494292.0
2017,1,41,1937,4751,6688,1089130.0
2017,1,42,8422,15252,23674,4323298.0
2017,1,43,189,141,330,35565.0
2017,2,2,8847,16014,24861,3628080.0
2017,2,3,9620,12486,22106,3115117.0
2017,2,4,11806,19001,30807,3808465.0
2017,2,5,13081,19417,32498,4295910.0
2017,2,7,6618,15739,22357,2465434.0
2017,2,10,10432,13192,23624,3132650.0
2017,2,11,10985,25579,36564,5001018.0
2017,2,15,7402,8713,16115,2308868.0
2017,2,17,9348,11596,20944,2532074.0
2017,2,19,3186,7511,10697,1199063.0
2017,2,20,12608,22417,35025,4259387.0
2017,2,21,3798,5756,9554,1275783.0
2017,2,23,9090,15104,24194,3435732.0
2017,3,1,23256,59188,82444,7800162.0
2017,3,2,6693,20145,26838,2087415.0
2017,3,3,7324,18102,25426,2217140.0
2017,3,4,7119,21719,28838,2564330.0
2017,3,5,6935,23718,30653,2614155.0
2017,3,6,5833,16057,21890,2706420.0
2017,3,7,4916,10693,15609,1329402.0
2017,3,8,2835,9408,12243,1291973.0
2017,3,9,7749,25013,32762,2702457.0
2017,3,10,5042,14871,19913,2696079.0
2017,3,11,5753,14802,20555,1887478.0
2017,3,12,8776,33109,41885,3258507.0
2017,3,13,4788,17351,22139,2491942.0
2017,3,14,5883,18760,24643,2204639.0
2017,3,15,8257,27363,35620,3724072.0
2017,3,16,5270,16580,21850,1607922.0
2017,3,17,5287,14835,20122,2110761.0
2017,3,18,12618,33094,45712,3432185.0
2017,3,19,5916,15068,20984,1902789.0
2017,3,20,51171,189870,241041,23180108.0
2017,3,21,21839,32135,53974,2590397.0
2017,3,22,10911,23118,34029,3249699.0
2017,3,23,13952,29566,43518,3773573.0
2017,3,24,9486,36152,45638,4582085.0
2017,3,25,1534,7537,9071,1299918.0
2017,3,26,20411,38164,58575,5451614.0
2017,3,27,4971,10952,15923,1498579.0
2017,3,28,6767,9930,16697,1240416.0
2017,3,29,7328,15287,22615,1801419.0
2017,3,30,1896,7207,9103,901710.0
2017,4,1,4500,15340,19840,2860955.0
2017,4,2,31717,52617,84334,13833968.0
2017,4,3,9347,37127,46474,6042861.0
2017,4,4,31993,58295,90288,14489510.0
2017,4,5,9496,40027,49523,8326638.0
2017,4,6,16252,55494,71746,9818413.0
2017,4,7,6680,24050,30730,4486223.0
2017,4,8,12946,36235,49181,7203760.0
2017,4,9,50696,49727,100423,11886475.0
2017,4,10,17222,65051,82273,13080603.0
2017,4,11,8336,22065,30401,5470361.0
2017,4,12,24975,21438,46413,5456552.0
2017,4,13,27,0,27,0.0
2017,4,15,51499,39335,90834,9995914.0
2017,4,16,2009,11610,13619,2466076.0
2017,5,1,3813,10123,13936,1449672.0
2017,5,2,7951,10072,18023,2060237.0
2017,5,3,2810,6330,9140,803654.0
2017,5,4,4327,16035,20362,1343828.0
2017,5,5,5319,18870,24189,2843375.0
2017,5,6,6162,9936,16098,1410897.0
2017,5,7,3039,5901,8940,686151.0
2017,5,8,1526,9153,10679,589226.0
2017,5,9,1834,3133,4967,420494.0
2017,5,10,3010,4738,7748,648512.0
2017,5,11,5355,6611,11966,1313794.0
2017,6,1,9793,32986,42779,3835491.0
2017,6,2,1923,6943,8866,1042820.0
2017,6,3,1055,3526,4581,759398.0
2017,6,4,1944,4489,6433,789220.0
2017,6,5,2386,2913,5299,566993.0
2017,6,6,2210,14452,16662,2106123.0
2017,6,7,2227,10680,12907,1459556.0
2017,6,8,1748,4953,6701,1023648.0
2017,6,9,822,1351,2173,366157.0
2017,6,10,6452,11431,17883,2025109.0
2017,6,11,933,8107,9040,1258480.0
2017,6,12,2381,5169,7550,907687.0
2017,6,13,4114,7669,11783,1313258.0
2017,6,15,1135,4785,5920,773810.0
2017,6,16,3116,8565,11681,1562662.0
2017,6,17,362,4914,5276,695556.0
2017,6,18,1604,7063,8667,888097.0
2017,6,19,1024,4308,5332,606690.0
2017,6,20,1927,6761,8688,1019896.0
2017,6,21,1638,4410,6048,752729.0
2017,6,22,613,2257,2870,455091.0
2017,6,23,1983,1278,3261,431146.0
2017,6,24,214,2095,2309,352836.0
2017,6,25,403,652,1055,247570.0
2017,6,26,462,239,701,86023.0
2017,6,27,1,9,10,2267.0
2017,6,28,17,10,27,4072.0
2017,7,1,2534,5599,8133,776741.0
2017,7,2,2065,3338,5403,360641.0
2017,7,3,2243,3522,5765,429567.0
2017,7,4,1245,2859,4104,338362.0
2017,7,5,1420,2807,4227,362791.0
2017,7,6,1394,2997,4391,357686.0
2017,7,7,3309,6647,9956,719600.0
2017,7,8,1106,2079,3185,357961.0
2017,7,9,6235,14710,20945,1839754.0
2017,7,10,3396,6874,10270,861121.0
2017,7,11,5632,9832,15464,1351199.0
2017,7,12,1475,3297,4772,408352.0
2017,7,13,1558,3690,5248,332350.0
2017,7,14,1051,2170,3221,283220.0
2017,7,15,3701,5645,9346,824643.0
2017,7,16,3285,4148,7433,705456.0
2017,7,17,4429,7174,11603,739154.0
2017,7,18,387,1583,1970,263952.0
2017,7,19,1260,2012,3272,268524.0
2017,7,20,2690,6340,9030,633166.0
2017,7,21,1072,3017,4089,362926.0
2017,7,22,9488,13258,22746,2267934.0
2017,7,23,1,834,835,512466.0
2017,7,24,6,396,402,239317.0
2017,8,1,28408,19356,47764,2848881.0
2017,8,2,6324,5560,11884,916440.0
2017,8,3,11989,8838,20827,1560927.0
2017,8,4,5796,11671,17467,1897681.0
2017,8,5,6472,11399,17871,1549089.0
2017,8,6,5208,6264,11472,716898.0
2017,8,7,3531,4794,8325,869063.0
2017,8,9,2765,6471,9236,1330216.0
2017,8,10,15275,12371,27646,1798905.0
2017,8,11,5153,4889,10042,795206.0
2017,8,12,2296,5837,8133,781622.0
2017,8,13,12008,8443,20451,1227382.0
2017,8,14,2104,3004,5108,250030.0
2017,8,15,5725,3541,9266,716077.0
2017,8,16,1377,5468,6845,1001949.0
2017,8,17,9194,9968,19162,1611582.0
2017,8,18,7689,7174,14863,1529784.0
2017,8,19,3771,2972,6743,345684.0
2017,8,20,4186,2344,6530,406809.0
2017,8,21,5742,3412,9154,460590.0
2017,8,22,3845,3567,7412,714908.0
2017,8,23,10049,10141,20190,1560151.0
2017,8,24,6408,6608,13016,1100070.0
2017,8,25,2532,3019,5551,661208.0
2017,8,26,7757,4045,11802,700247.0
2017,8,27,5861,5892,11753,1100996.0
2017,8,28,8906,11223,20129,1627998.0
2017,8,29,10186,7727,17913,1717665.0
2017,8,30,7035,3078,10113,623988.0
2017,8,31,4214,7635,11849,720059.0
2017,8,33,8801,359,9160,240336.0
2017,8,34,11203,2141,13344,917466.0
2017,8,35,9654,700,10354,391256.0
2017,8,36,5309,391,5700,242233.0
2017,8,37,1030,120,1150,82555.0
2017,8,38,13634,1011,14645,582448.0
2017,8,39,5864,525,6389,340331.0
2017,9,1,4641,9721,14362,1500369.0
2017,9,2,16696,23363,40059,4867777.0
2017,9,3,4274,13961,18235,1604227.0
2017,9,4,37450,75121,112571,7300193.0
2017,9,5,5374,14767,20141,1362204.0
2017,9,6,6530,17692,24222,2308271.0
2017,9,7,9140,28874,38014,3861043.0
2017,9,8,7305,18528,25833,1756807.0
2017,9,9,14690,21613,36303,2632964.0
2017,9,10,6286,14499,20785,1288007.0
2017,9,11,7052,20022,27074,2342809.0
2017,9,12,5215,10331,15546,1415099.0
2017,9,13,7835,15770,23605,2285164.0
2017,9,14,13402,48953,62355,4677235.0
2017,9,18,5210,19154,24364,2558724.0
2017,9,19,8915,23333,32248,1741936.0
2017,9,20,12953,37028,49981,2628907.0
2017,9,21,2566,7941,10507,830587.0
2017,9,22,4976,16388,21364,1247112.0
2017,9,23,1946,8494,10440,1362589.0
2017,9,24,1858,6186,8044,741122.0
2017,9,25,3006,8309,11315,858724.0
2017,9,26,4117,7437,11554,912816.0
2017,9,27,3789,7976,11765,1100452.0
2017,9,28,5840,18631,24471,3517256.0
2017,9,29,5162,10070,15232,950858.0
2017,9,30,7787,12872,20659,1352161.0
