year,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days,mean_decision_days
2015,1,1,1343,6137,7480,1949163.0,317.6084406061594
2015,1,2,3596,11248,14844,3953202.0,351.4582147937411
2015,1,3,7995,30443,38438,11548321.0,379.34241040633316
2015,1,4,6971,16687,23658,6001754.0,359.6664469347396
2015,1,5,6148,16952,23100,6506409.0,383.81365030674846
2015,1,7,9405,25327,34732,9771832.0,385.8266671931141
2015,1,8,4699,18779,23478,7702024.0,410.1402630598008
2015,1,9,20155,73956,94111,20232982.0,273.58134566499
2015,1,10,1698,6573,8271,3016644.0,458.9447740757645
2015,1,11,1859,6536,8395,2423149.0,370.73883108935127
2015,1,12,452,8390,8842,1496521.0,178.36960667461264
2015,1,13,7511,16638,24149,6139602.0,369.01081860800576
2015,1,14,9964,26385,36349,10367881.0,392.9460299412545
2015,1,15,7754,19517,27271,6291916.0,322.3813086027566
2015,1,17,6689,18146,24835,7038917.0,387.9046070759396
2015,1,18,5254,13101,18355,5048751.0,385.37142202885275
2015,1,19,13823,37143,50966,9987477.0,268.892577336241
2015,1,20,16560,33884,50444,11098648.0,327.54834140007085
2015,1,21,32603,47643,80246,16039520.0,336.6605797283966
2015,1,23,40490,108161,148651,39389777.0,364.17726352382095
2015,1,24,8131,13945,22076,4809559.0,344.8948727142345
2015,1,25,32472,54479,86951,16851739.0,309.32540979092863
2015,1,26,16357,36838,53195,13313499.0,361.40667245778815
2015,1,27,7435,29248,36683,9052473.0,309.5074193107221
2015,1,28,6940,21883,28823,6871681.0,314.01914728327927
2015,1,29,7143,18638,25781,6208926.0,333.1326322566799
2015,1,30,10937,34921,45858,10808106.0,309.50161793763067
2015,1,31,7090,18415,25505,6875333.0,373.3550366549009
2015,1,32,1715,8747,10462,2700383.0,308.7210472161884
2015,1,33,1150,5711,6861,1288238.0,225.57135352827876
2015,1,34,9982,19569,29551,7958788.0,406.70386836322757
2015,1,35,6060,19655,25715,6854037.0,348.71722208089545
2015,1,36,2973,10201,13174,4242071.0,415.8485442603666
2015,1,37,9792,35550,45342,8584993.0,241.49066104078761
2015,1,38,2738,3879,6617,1663373.0,428.81490074761535
2015,1,39,1280,1281,2561,757963.0,591.696330991413
2015,1,40,6410,14144,20554,7080149.0,500.57614536199094
2015,1,41,739,3382,4121,1324435.0,391.61295091661736
2015,1,42,2530,19672,22202,8570783.0,435.6843737291582
2015,1,43,93,295,388,126281.0,428.071186440678
2015,2,2,3653,18473,22126,6980192.0,377.85914578032805
2015,2,3,4818,17489,22307,7433690.0,425.0494596603579
2015,2,4,5308,24650,29958,10098839.0,409.6892089249493
2015,2,5,5819,27659,33478,10892339.0,393.80812755341844
2015,2,7,2556,11883,14439,4908741.0,413.08937137086593
2015,2,10,4625,14789,19414,6644122.0,449.2610724186896
2015,2,11,4704,27532,32236,11708228.0,425.25889873601625
2015,2,15,3166,10561,13727,5784224.0,547.6966196382918
2015,2,17,4377,13546,17923,5697586.0,420.6102170382401
2015,2,19,1631,5187,6818,2782224.0,536.384037015616
