year,state_code,dist_code,mean_decision_days
2018,1,1,71.49920729290527
2018,1,2,72.78628447024674
2018,1,3,101.14154627098789
2018,1,4,64.96832818703132
2018,1,5,68.3224877139468
2018,1,7,91.11407274895647
2018,1,8,113.81663258350375
2018,1,9,63.395697549707116
2018,1,10,67.40120620333143
2018,1,11,96.79448673112528
2018,1,12,89.47050938337802
2018,1,13,47.73962023522743
2018,1,14,68.92800756059594
2018,1,15,66.6293006993007
2018,1,17,83.65609731777843
2018,1,18,75.91020347979946
2018,1,19,59.45068261399851
2018,1,20,77.68304892913112
2018,1,21,85.95652936021035
2018,1,23,117.9531998222778
2018,1,24,63.15590813591249
2018,1,25,53.40621973826191
2018,1,26,58.1490903103647
2018,1,27,82.18903303172354
2018,1,28,68.89801053707636
2018,1,29,62.024011299435024
2018,1,30,67.47678416104046
2018,1,31,38.4676512371256
2018,1,32,78.34456721915286
2018,1,33,84.47221369358306
2018,1,34,82.21157637410299
2018,1,35,77.31339532545866
2018,1,36,95.59474178403755
2018,1,37,63.88606352970034
2018,1,38,143.62001399580126
2018,1,39,127.96586599241468
2018,1,40,174.96424056348204
2018,1,41,175.12080057183704
2018,1,42,207.87521642344794
2018,1,43,299.4029850746268
2018,2,2,110.96349153667443
2018,2,3,131.63719234275297
2018,2,4,99.8533639645553
2018,2,5,120.24183006535947
2018,2,7,79.06867716395338
2018,2,10,119.62876891907997
2018,2,11,87.35116004718836
2018,2,15,141.4042279411765
2018,2,17,89.33764976400823
2018,2,19,82.85665155541659
2018,2,20,69.74707955689829
2018,2,21,87.72690272690274
2018,2,23,124.12002784407319
2018,3,1,65.73685681124532
2018,3,2,66.69222151088348
2018,3,3,65.94446255133303
2018,3,4,67.03740025583237
2018,3,5,60.02757373095056
2018,3,6,81.34163673278151
2018,3,7,67.60566119273984
2018,3,8,60.53164426059979
2018,3,9,44.89381290473589
2018,3,10,75.70323325635104
2018,3,11,68.6569455800854
2018,3,12,53.07573529411765
2018,3,13,76.1853129311426
2018,3,14,55.92188263395038
2018,3,15,73.84646670055922
2018,3,16,53.62004827488286
2018,3,17,68.62622793706574
2018,3,18,48.08663410460266
2018,3,19,74.66592445983837
2018,3,20,61.743189812488424
2018,3,21,34.161743778417964
2018,3,22,72.7665582151987
2018,3,23,56.20591224018476
2018,3,24,76.43261363636364
2018,3,25,95.78575190940217
2018,3,26,76.23331924989438
2018,3,27,75.59716294250565
2018,3,28,64.06959037612305
2018,3,29,64.3135935397039
2018,3,30,73.1172032193159
2018,4,1,138.12751882760026
2018,4,2,198.6233822954739
2018,4,3,101.65955826351866
2018,4,4,168.13626881032516
2018,4,5,180.47281870572257
2018,4,6,143.57926308511938
2018,4,7,130.8452117707093
2018,4,8,200.19493054302725
2018,4,9,180.01965583173995
2018,4,10,130.78047389906268
2018,4,11,182.6361267397098
2018,4,12,147.10911875438708
2018,4,15,179.31522868023234
2018,4,16,144.12412201485049
2018,5,1,60.15668675471214
2018,5,2,48.676611189801704
2018,5,3,26.77671501868626
2018,5,4,32.56499768196569
2018,5,5,34.06395490448519
2018,5,6,31.352811800841828
2018,5,7,34.58207463349621
2018,5,8,25.847583643122675
2018,5,9,40.98837796867104
2018,5,10,40.76352989615262
2018,5,11,38.880045755942454
2018,6,1,42.39378415300546
2018,6,2,80.35029686174724
2018,6,3,90.15296279283417
2018,6,4,99.61287758346582
2018,6,5,110.45122587376109
2018,6,6,86.79527879527879
2018,6,7,89.16819571865443
2018,6,8,153.77865612648222
2018,6,9,183.12868117797694
2018,6,10,95.43582295988935
2018,6,11,121.52779128180197
2018,6,12,93.0364406779661
2018,6,13,105.07079053148726
2018,6,15,123.68070175438598
2018,6,16,95.94934273805707
2018,6,17,90.65767359575409
2018,6,18,61.329713566257475
2018,6,19,77.50418604651163
2018,6,20,82.86941760250718
2018,6,21,86.74325943678849
2018,6,22,93.08446671438797
2018,6,23,190.72232142857143
2018,6,24,73.58599333015722
2018,6,25,286.7190170940171
2018,6,26,67.89159027500996
2018,6,27,239.9476439790576
2018,6,28,98.0072463768116
2018,7,1,39.03019247704113
2018,7,2,17.70440522313101
2018,7,3,27.045286369690682
2018,7,4,39.53435897435897
2018,7,5,33.55211864406779
2018,7,6,28.429746240601503
2018,7,7,30.385409836065566
2018,7,8,49.01367461430575
2018,7,9,36.45265773360546
2018,7,10,28.28605474601661
2018,7,11,24.61026444476095
2018,7,12,31.509251101321585
2018,7,13,28.310955710955707
2018,7,14,32.51367950865438
2018,7,15,35.71410321921308
2018,7,16,54.48035066505441
2018,7,17,32.40158240061752
2018,7,18,52.17778772951186
2018,7,19,33.44038573933371
2018,7,20,20.911861015099145
2018,7,21,31.283931698774072
2018,7,22,60.21820908579641
2018,7,23,73.33083535375799
2018,7,24,117.3489077669903
2018,8,1,60.732239182830256
2018,8,2,68.38453417788334
2018,8,3,77.21412803532009
