state_code,dist_code,mean_decision_days
1,1,187.68611187908948
1,2,207.4188282647585
1,3,244.91533017521832
1,4,210.71298172715044
1,5,227.5383142429412
1,7,233.98780717505682
1,8,283.3222652900216
1,9,167.30110458416482
1,10,224.47555953446732
1,11,247.05155865115094
1,12,147.51597499902945
1,13,199.2592649879354
1,14,231.66435910431258
1,15,188.3402561388338
1,17,251.64580674157304
1,18,238.81130280513202
1,19,164.6520599530528
1,20,200.00141805481394
1,21,213.1626124670007
1,23,257.69563749603844
1,24,186.5922654028436
1,25,179.7092547183419
1,26,207.44573337777308
1,27,201.9071627371317
1,28,200.1112525345213
1,29,205.51169590643275
1,30,198.9293772906146
1,31,170.13134616544983
1,32,208.4379535689786
1,33,161.8268362741075
1,34,259.04153263157895
1,35,210.19658364491616
1,36,282.4922346423979
1,37,159.07550025518734
1,38,326.7854534973098
1,39,428.9806369426752
1,40,362.60021401819154
1,41,269.1301875646138
1,42,345.24248489956454
1,43,373.2822252374491
2,2,276.24130750866107
2,3,312.0505340758209
2,4,269.3168493400328
2,5,284.86982031536485
2,7,227.89177842090245
2,10,308.94378533493233
2,11,269.59363270284194
2,15,369.0996419311026
2,17,278.67197244298353
2,19,267.57059058792163
2,20,258.59746906912807
2,21,294.1709966113476
2,23,296.2426467860984
3,1,171.7208358663365
3,2,148.17229543182054
3,3,142.60131632593627
3,4,145.01340397230527
3,5,138.44940019116558
3,6,195.77400712007028
3,7,162.34816608158818
3,8,152.5706060890516
3,9,128.10996667390464
3,10,181.5321388804535
3,11,181.3849433210284
3,12,121.5713832008702
3,13,172.7455670103093
3,14,140.88399697160236
3,15,159.63878731526762
3,16,97.7904731579953
3,17,157.36769064711223
3,18,130.58510314147293
3,19,161.69396307822888
3,20,134.59106578108498
3,21,107.26602437271355
3,22,165.923715709295
3,23,137.08373349339735
3,24,135.52013688201686
3,25,164.61883752158067
3,26,187.65817623998637
3,27,154.65653922105113
3,28,176.49484791031242
3,29,161.93647871553017
3,30,148.71744709339086
4,1,214.03588600914742
4,2,283.74360967238493
4,3,180.01611876684998
4,4,295.69940269707746
4,5,204.26120248890604
4,6,214.04929973133383
4,7,262.9456137339056
4,8,209.64420942212772
4,9,294.7839526531809
4,10,220.05916930578022
4,11,247.02390102790258
4,12,236.22207131117605
4,13,510.3611111111111
4,15,275.1706167715328
4,16,187.12474283075113
5,1,185.50922059846903
5,2,199.64858651873243
5,3,128.82740167448284
5,4,94.09812231940833
5,5,135.73024219976526
5,6,134.6330669295497
5,7,142.95834065740902
5,8,79.76675701620645
5,9,153.39910247921725
5,10,104.54115789239563
5,11,103.68404433458257
6,1,202.7118707812902
6,2,207.90888545915556
6,3,263.0159910566735
6,4,218.06611345395186
6,5,235.04035656401945
6,6,141.43437128701774
6,7,168.7126601081869
6,8,276.1622376566511
6,9,311.0410703173615
6,10,214.83772824017026
6,11,203.95601861056986
6,12,271.9003773037295
6,13,222.30837706146926
6,15,222.08384137815315
6,16,244.4759675706978
6,17,187.85453274760383
6,18,189.70724492074123
6,19,211.8988429752066
6,20,248.69049882423576
6,21,208.50057104467584
6,22,284.6213944288775
6,23,442.7302591922845
6,24,196.35953757225434
6,25,500.5998789346247
6,26,137.07829614604464
6,27,195.3150442477876
6,28,139.0331950207469
7,1,146.55297546300648
7,2,111.56550774526679
7,3,156.09737286093034
7,4,156.41857180686733
7,5,169.20876585928488
7,6,92.26764518187619
7,7,120.79028116366
7,8,175.7641723356009
7,9,138.849593921015
7,10,111.18217336600225
7,11,141.00245647302188
7,12,138.69761208576998
7,13,93.21600697851925
7,14,153.95100983946142
7,15,148.57406754565324
7,16,197.66580779562523
7,17,140.04352590017757
7,18,158.6993474714519
7,19,138.1556864188443
7,20,109.59279570740945
7,21,128.24225757319343
7,22,201.45241066799792
7,23,110.90132480584742
7,24,186.72534332084894
8,1,109.87688032552138
8,2,211.85432287681715
8,3,227.36919240124388
8,4,141.73382776069053
8,5,189.93850074962518
8,6,202.48852704006973
8,7,163.226324127006
8,9,262.2622598826732
8,10,173.61602986811482
8,11,168.93207106411754
8,12,144.5781510529241
8,13,285.5842112656272
8,14,118.62451671594269
8,15,239.07403837728904
8,16,160.83614148627538
8,17,163.96230630839764
8,18,297.1969846067337
8,19,136.03549237431744
8,20,183.70114617235035
8,21,152.70322769095955
8,22,241.7264926707186
8,23,181.5824036040811
8,24,202.69038402992214
8,25,236.4435766935767
8,26,181.97416878131304
8,27,176.05992719126294
8,28,127.19847479169609
8,29,208.36007612912672
8,30,215.4982884633176
8,31,124.84011567138178
8,33,94.48681948424068
8,34,249.01199630882806
8,35,72.80871385581578
8,36,138.7008032128514
8,37,346.9642857142857
8,38,258.69062563271916
8,39,247.75640355462625
9,1,173.7030254284477
9,2,242.49560276607303
9,3,127.58509992410828
9,4,201.23496029291593
9,5,142.40872601308627
9,6,114.35785704400774
9,7,162.1257163187253
9,8,153.4977997189557
9,9,187.76757569030585
9,10,137.18993456589521
9,11,131.80945439059147
9,12,154.9475996852046
9,13,214.5217983342033
9,14,137.52113074307422
9,18,177.5694435777431
9,19,102.354971851477
9,20,106.79301167255998
9,21,166.0105624363305
9,22,138.35556478405314
9,23,131.34242075874528
9,24,150.04620809672102
9,25,135.7656359495445
9,26,152.24595914742451
9,27,161.905250793927
9,28,223.34497260678805
9,29,147.19654117735905
