district_name,decision_time
Nandurbar,71.49920729290527
Dhule,72.78628447024674
Jalgaon,101.14154627098787
Buldhana,64.96832818703132
Akola,68.3224877139468
Amravati,91.11407274895647
Wardha,113.81663258350376
Nagpur,63.39569754970712
Bhandara,67.40120620333143
Gondia,96.79448673112528
Gadchiroli,89.47050938337802
Chandrapur,47.73962023522743
Yavatmal,68.92800756059594
Nanded,66.6293006993007
Parbhani,83.65609731777843
Jalna,75.91020347979946
Aurangabad,59.45068261399851
Nashik,77.68304892913112
Thane,85.95652936021035
Mumbai CMM Courts,117.9531998222778
Raigad,63.15590813591249
Pune,53.40621973826191
Ahmednagar,58.1490903103647
Beed,82.18903303172354
Latur,68.89801053707636
Osmanabad,62.024011299435024
Solapur,67.47678416104046
Satara,38.4676512371256
Ratnagiri,78.34456721915286
Sindhudurg,84.47221369358306
Kolhapur,82.21157637410299
Sangli,77.31339532545866
Washim,95.59474178403757
Mumbai City Civil Court,63.88606352970034
Mumbai Small Causes Court,143.62001399580126
Mumbai Motor Accident Claims T,127.96586599241468
Maharashtra Industrial and Lab,174.96424056348204
Mah State Cooperative Appellat,175.12080057183704
Maharashtra-Family Courts,207.87521642344797
Maharashtra-School Tribunals,299.4029850746268
Ananthapur,110.96349153667444
Chittoor,131.63719234275297
East Godavari,99.8533639645553
Guntur,120.24183006535948
Kadapa,79.06867716395338
Kurnool,119.62876891907996
Krishna,87.35116004718836
Nellore,141.4042279411765
Prakasham,89.33764976400823
Srikakulam,82.85665155541659
Visakapatnam,69.74707955689829
Vizianagaram,87.72690272690274
West Godavari,124.1200278440732
BELAGAVI,65.73685681124532
BAGALKOT,66.69222151088348
VIJAYAPURA,65.94446255133303
KALABURAGI,67.03740025583237
BIDAR,60.02757373095056
RAICHUR,81.34163673278151
KOPPAL,67.60566119273984
GADAG,60.53164426059979
DHARWAD,44.89381290473589
UTTARA KANNADA,75.70323325635104
HAVERI,68.6569455800854
BALLARI,53.07573529411765
CHITRADURGA,76.1853129311426
DAVANGERE,55.92188263395038
SHIVAMOGGA,73.84646670055922
UDUPI,53.62004827488286
CHIKKAMAGALURU,68.62622793706574
TUMAKURU,48.08663410460266
KOLAR,74.66592445983837
BENGALURU,61.74318981248842
BENGALURU RURAL,34.161743778417964
MANDYA,72.7665582151987
HASSAN,56.20591224018476
DAKSHINA KANNADA,76.43261363636364
KODAGU,95.78575190940217
MYSURU,76.23331924989438
CHAMRAJNAGAR,75.59716294250565
RAMANAGARAM,64.06959037612305
CHIKKABALLAPUR,64.3135935397039
YADGIR.,73.1172032193159
Kasaragod,138.12751882760026
Ernakulam,198.6233822954739
Kannur,101.65955826351866
Thrissur,168.13626881032516
Kozhikode,180.47281870572257
Alappuzha,143.57926308511938
Idukki,131.7692831023046
Palakkad,200.19493054302723
Thiruvananthapuram,180.01965583173995
Kottayam,130.78047389906268
Malappuram,182.6361267397098
Pathanamthitta,147.10911875438708
Kollam,179.31522868023234
Wayanad,144.12412201485049
Hamirpur,60.15668675471214
Kangra,48.6766111898017
Sirmaur,26.77671501868626
Una,32.56499768196569
Solan,34.06395490448519
Mandi,31.352811800841828
Bilaspur,34.58207463349621
Chamba,25.847583643122675
Kinnaur,40.98837796867104
Kullu,40.76352989615262
Shimla,38.88004575594245
Kamrup Metro,42.39378415300546
Tinsukia,80.35029686174724
Sivasagar,90.15296279283416
Morigaon,99.61287758346582
Lakhimpur,110.45122587376108
Sonitpur,86.79527879527879
Dibrugarh,89.16819571865443
Darrang,153.77865612648222
Bongaigaon,183.12868117797692
Nagaon,95.43582295988936
Jorhat,121.52779128180195
Karimganj,93.0364406779661
Cachar,105.07079053148726
Nalbari,123.68070175438598
Dhubri,95.94934273805708
Dhemaji,90.65767359575408
Goalpara,61.32971356625748
Golaghat,77.50418604651163
Barpeta,82.86941760250718
Hailakandi,86.74325943678849
Kokrajhar,93.08446671438796
Kamrup,190.72232142857143
Udalguri,73.58599333015722
Chirang,286.7190170940171
Karbi Anglong,67.89159027500996
Baksa,239.9476439790576
Dima Hasao,98.0072463768116
Bokaro,39.03019247704113
Dumka,17.70440522313101
Koderma,27.04528636969068
West Singhbhum at Chaibasa,39.53435897435897
Gumla,33.55211864406779
Godda,28.429746240601503
Hazaribagh,30.385409836065566
Lohardaga,49.01367461430575
Dhanbad,36.45265773360546
Giridih,28.28605474601661
East Singhbhum at Jamshedpur,24.61026444476095
Jamtara,31.509251101321585
Chatra,28.310955710955707
Pakur,32.51367950865438
Seraikella,35.71410321921308
Deoghar,54.48035066505441
Daltonganj,32.40158240061752
Simdega,52.17778772951186
Latehar,33.44038573933371
Garhwa,20.911861015099145
Sahibganj,31.283931698774072
Ranchi,60.21820908579641
RAMGARH,73.33083535375799
KHUNTI,117.3489077669903
Patna,60.732239182830256
Kaimur at Bhabhua,68.38453417788334
Samastipur,77.21412803532009
Saran at Chapra,85.99280457890433
Katihar,41.69105521344328
Begusarai,65.59225947124557
Banka,90.06018136850784
Purnea,93.25051105742428
Motihari,58.6288679245283
Munger,44.69234107181601
Madhepura,39.04873605101344
Rohtas Sasaram,78.6762814624288
Khagaria,39.28771112405358
Jamui,88.71016081871345
Aurangabad,99.65892696122631
Darbhanga,67.16478190630049
Madhubani,84.39935669544607
Lakhisarai,44.84221748400853
Sheikhpura,81.82010869565218
Saharsa,72.21316165951359
Supaul,100.84586466165412
Gopalganj,49.0807891028652
Araria,57.94474366646719
Kishanganj,88.82080659945005
Buxar,71.52568659127625
Nawada,65.23490312544195
Bettiah,57.00600126342388
Siwan,99.03686087990488
Nalanda,62.90137857900319
Sitamarhi,42.603257490985946
Bhojpur,63.57364953886693
Bhagalpur,105.87511190689348
Gaya,52.83929225137279
Jehanabad,70.05474732006125
Sheohar,181.94773519163763
Muzaffarpur,89.89891234804863
Vaishali,161.67664670658684
Rajsamand,70.52921535893155
Alwar,89.6230347156273
Dausa,47.2974815527751
Jaipur Metro,46.90582493644342
Tonk,32.65115651156511
Bikaner,55.02573363431152
Ganganagar,56.86246010311809
Merta (Nagaur),32.7356242045586
Udaipur,50.135649756775535
Bundi,34.91949079649063
Hanumangarh,47.57275703020383
Baran,38.76951250315736
Bharatpur,66.70867240176703
Ajmer,33.95645782494928
Jhunjhunu,54.567579849389766
Pali,19.498460836848704
Kota,24.328615548237988
Jalore,42.54586709886547
Jhalawar,40.18917896329928
Pratapgarh,47.80989081567116
Dungarpur,51.61352063213345
Banswara,45.51631944444444
Sirohi,43.48835056318469
Balotra Barmer,49.74509261819186
Jodhpur Metro,96.86636326023996
