Name,Unique-ID,mean_decision_days
Jehanabad,173,70.05474732006125
Sheohar,178,181.94773519163763
Muzaffarpur,170,89.89891234804863
Vaishali,176,161.67664670658684
Rajsamand,531,70.52921535893155
Alwar,648,89.6230347156273
Dausa,538,47.2974815527751
Jaipur,528,46.29676365795724
Tonk,526,32.65115651156511
Bikaner,523,55.02573363431152
Ganganagar,520,56.86246010311809
Nagaur,518,32.7356242045586
Udaipur,536,50.135649756775535
Bundi,527,34.91949079649063
Hanumangarh,517,47.57275703020383
Baran,649,38.76951250315736
Bharatpur,533,66.70867240176703
Ajmer,532,33.95645782494928
Jhunjhunun,514,54.567579849389766
Pali,530,19.498460836848704
Kota,529,23.656815020862304
Jalor,537,42.54586709886547
Jhalawar,647,40.18917896329928
Pratapgarh,524,47.80989081567116
Pratapgarh,605,47.80989081567116
Pratapgarh,524,79.52645085768313
Pratapgarh,605,79.52645085768313
Dungarpur,534,51.61352063213345
Banswara,652,45.51631944444444
Sirohi,539,43.48835056318469
Barmer,519,49.74509261819186
Karauli,653,42.2470572675572
Chittaurgarh,535,43.01695832581634
Bhilwara,525,38.49145266385588
Jaisalmer,515,21.103879026955948
Churu,522,48.88157575757575
Dhaulpur,650,43.60545327429504
Sikar,516,41.10068444956182
Sawai Madhopur,651,45.422148125694655
Jodhpur,521,13.36916511069618
Dharmapuri,557,92.82430316316945
Pudukkottai,628,57.087555814404965
Tirunelveli,545,43.86342909256726
Theni,551,27.87895555939823
Namakkal,558,140.4080808080808
Nagapattinam,631,41.668463006624
Kanniyakumari,634,51.16104010577346
Tiruchirappalli,549,65.26335133513352
Thoothukkudi,635,40.987800139871005
Viluppuram,632,103.44977084107518
Vellore,629,52.07004801920768
Salem,552,69.15771913861086
Chennai,630,141.1005356407087
Virudhunagar,546,32.0
Madurai,553,38.1822218023805
The Nilgiris,646,43.9388135142325
Thanjavur,542,54.96467958271237
Coimbatore,645,90.31281487588166
Karur,556,80.32821202227771
Cuddalore,627,104.66256476683938
Ramanathapuram,544,45.86541837331773
Tiruvannamalai,543,44.63642269380684
Perambalur,554,19.173265758631608
Erode,644,101.2812570909916
Thiruvarur,547,30.967753450737742
Krishnagiri,643,51.540170085042526
Dindigul,555,34.58977094446188
Puducherry,269,104.0621212121212
Sivaganga,541,28.45683704335685
Ariyalur,540,56.95375185735513
Kancheepuram,633,60.922271169848266
Thiruvallur,548,120.04406677695891
Tiruppur,550,85.6790366815221
Cuttack,501,102.71665062560156
Kendrapara,505,94.45482156416097
Nuapada,510,131.25794621026895
Ganjam,507,44.59173590837638
Baleshwar,496,92.05934343434345
Koraput,488,64.22257425742573
Dhenkanal,499,91.24646464646464
Khordha,493,76.02834366696192
Gajapati,498,112.62633451957296
Kalahandi,503,148.4590368980613
Sambalpur,497,61.399377593361
Jharsuguda,511,52.47817047817048
Kendujhar,506,108.55365474339035
Jagatsinghapur,491,172.5254739336493
Puri,485,81.81654228855722
Sundargarh,508,58.48798235942668
Balangir,513,72.58922030350602
Bhadrak,509,90.41974656810982
Jajapur,502,85.5976401179941
Subarnapur,484,164.8514619883041
Rayagada,512,87.77212806026365
Nayagarh,500,77.4930612244898
Kandhamal,492,90.33092948717947
Baudh,504,71.64683544303797
Mayurbhanj,494,120.25940594059404
Anugul,486,88.4316338354577
Bargarh,490,47.575945443273405
Debagarh,487,71.07142857142857
Malkangiri,495,91.4506172839506
Nabarangapur,489,166.55038759689924
Kathua,83,110.80882352941175
Udhampur,77,57.78280680437424
Baramula,65,81.90326481257559
Anantnag,64,45.90575916230366
Srinagar,72,78.09149623250808
Pulwama,74,80.32105263157895
Ganderbal,76,70.3718309859155
Badgam,78,79.54961089494164
Reasi,68,156.86970684039088
Shupiyan,67,34.63115264797507
Kupwara,80,83.53591160220994
Punch,79,128.0863309352518
Rajouri,69,152.5459140690817
Ramban,75,96.59574468085108
Doda,73,49.12783579402232
Leh(Ladakh),71,47.325842696629216
Leh(Ladakh),71,116.11267605633805
Kargil,84,52.0235294117647
Kargil,84,156.44295302013424
Bandipore,82,149.64532019704433
Jammu,70,114.82589789015944
Kulgam,66,90.5568400770713
Samba,81,86.45856873822976
