Old_name,id_1,Name,id_2
Ernakulam,361,Ernakulam,361
Erode,644,Erode,644
Etah,577,Etah,577
Etawah,625,Etawah,625
Faizabad,594,Faizabad,594
Faridabad,212,Faridabad,212
Faridkot,405,Faridkot,405
Farrukhabad,582,Farrukhabad,582
Fatehabad,211,Fatehabad,211
Fatehgarh Sahib,401,Fatehgarh Sahib,401
Fatehpur,617,Fatehpur,617
Fazilka,414,Fazilka,414
Firozabad,587,Firozabad,587
Ferozepur,413,Firozpur,413
GADAG,435,Gadag,435
Gadchiroli,473,Gadchiroli,473
Gajapati,498,Gajapati,498
Ganderbal,76,Ganderbal,76
GANDHINAGAR,116,Gandhinagar,116
Ganganagar,520,Ganganagar,520
Ganjam,507,Ganjam,507
Garhwa,156,Garhwa,156
Pauri Garhwal,350,Garhwal,350
Gariaband,322,Gariaband,322
Gaurella Pendra Marwahi,736,Gaurella Pendra Marwahi,736
Gautam Buddha Nagar,623,Gautam Buddha Nagar,623
Gaya,164,Gaya,164
Ghaziabad,621,Ghaziabad,621
Ghazipur,642,Ghazipur,642
Gir Somnath at Veraval,107,Gir Somnath,107
Giridih,145,Giridih,145
Goalpara,240,Goalpara,240
Godda,148,Godda,148
Golaghat,262,Golaghat,262
Gomati District,305,Gomati,305
Gonda,607,Gonda,607
Gondia,466,Gondiya,466
Gopalganj,175,Gopalganj,175
Gorakhpur,591,Gorakhpur,591
KALABURAGI,434,Gulbarga,434
Gumla,154,Gumla,154
Guna,23,Guna,23
Guntur,130,Guntur,130
Gurdaspur,397,Gurdaspur,397
Gurugram,197,Gurgaon,197
Gwalior,34,Gwalior,34
Hailakandi,246,Hailakandi,246
Hamirpur,62,Hamirpur,62
Hamirpur,606,Hamirpur,606
Hanumangarh,517,Hanumangarh,517
Howrah,387,Haora,387
Hapur,564,Hapur,564
Harda,19,Harda,19
Hardoi,578,Hardoi,578
Haridwar,351,Hardwar,351
HASSAN,438,Hassan,438
HAVERI,424,Haveri,424
Hazaribagh,141,Hazaribagh,141
Hingoli,464,Hingoli,464
Hisar,214,Hisar,214
Hnahthial,727,Hnahthial,727
Hojai,692,Hojai,692
Hoshangabad,5,Hoshangabad,5
Hoshiarpur,411,Hoshiarpur,411
Hooghly,395,Hugli,395
Hyderabad,656,Hydrabad,656
Idukki,364,Idukki,364
Imphal East,285,Imphal East,285
Imphal West,287,Imphal West,287
Indore,17,Indore,17
Jabalpur,7,Jabalpur,7
Jagatsinghpur,491,Jagatsinghapur,491
Jagtial,668,Jagtial,668
Jaipur Metro,528,Jaipur,528
Jaiselmer,515,Jaisalmer,515
Jajpur,502,Jajapur,502
Jalandhar,408,Jalandhar,408
Jalaun,603,Jalaun,603
Jalgaon,474,Jalgaon,474
Jalna,478,Jalna,478
Jalore,537,Jalor,537
Jalpaiguri,384,Jalpaiguri,384
Jammu,70,Jammu,70
Jamnagar,112,Jamnagar,112
Jamtara,135,Jamtara,135
Jamui,193,Jamui,193
Jangaon,654,Jangaon,654
Janjgir,343,Janjgir-Champa,343
Jashpur,341,Jashpur,341
Jaunpur,609,Jaunpur,609
Jayashankar,669,Jayashankar,669
Jehanabad,173,Jehanabad,173
Jhabua,30,Jhabua,30
Jhajjar,202,Jhajjar,202
