state_code,dist_code,year,state_name,district_name,judges_count
7,6,2018,Jharkhand,Godda,33
7,7,2018,Jharkhand,Hazaribagh,54
7,8,2018,Jharkhand,Lohardaga,14
7,9,2018,Jharkhand,Dhanbad,113
7,10,2018,Jharkhand,Giridih,53
7,11,2018,Jharkhand,East Singhbhum at Jamshedpur,70
7,12,2018,Jharkhand,Jamtara,13
7,13,2018,Jharkhand,Chatra,40
7,14,2018,Jharkhand,Pakur,14
7,15,2018,Jharkhand,Seraikella,27
7,16,2018,Jharkhand,Deoghar,64
7,17,2018,Jharkhand,Daltonganj,37
7,18,2018,Jharkhand,Simdega,17
7,19,2018,Jharkhand,Latehar,18
7,20,2018,Jharkhand,Garhwa,43
7,21,2018,Jharkhand,Sahibganj,19
7,22,2018,Jharkhand,Ranchi,145
8,1,2018,Bihar,Patna,66
8,2,2018,Bihar,Kaimur at Bhabhua,58
8,3,2018,Bihar,Samastipur,61
8,4,2018,Bihar,Saran at Chapra,62
8,5,2018,Bihar,Katihar,2
8,6,2018,Bihar,Begusarai,36
8,7,2018,Bihar,Banka,30
8,9,2018,Bihar,Purnea,36
8,10,2018,Bihar,Motihari,67
8,11,2018,Bihar,Munger,35
8,12,2018,Bihar,Madhepura,20
8,13,2018,Bihar,Rohtas Sasaram,30
8,14,2018,Bihar,Khagaria,20
8,15,2018,Bihar,Jamui,25
8,16,2018,Bihar,Aurangabad,50
8,17,2018,Bihar,Darbhanga,51
8,18,2018,Bihar,Madhubani,18
8,19,2018,Bihar,Lakhisarai,27
8,20,2018,Bihar,Sheikhpura,13
8,21,2018,Bihar,Saharsa,33
8,22,2018,Bihar,Supaul,18
8,23,2018,Bihar,Gopalganj,59
8,24,2018,Bihar,Araria,27
8,25,2018,Bihar,Kishanganj,30
8,26,2018,Bihar,Buxar,69
8,27,2018,Bihar,Nawada,29
8,28,2018,Bihar,Bettiah,34
8,29,2018,Bihar,Siwan,36
8,30,2018,Bihar,Nalanda,19
8,31,2018,Bihar,Sitamarhi,29
8,33,2018,Bihar,Bhojpur,53
8,34,2018,Bihar,Bhagalpur,9
8,35,2018,Bihar,Gaya,58
8,36,2018,Bihar,Jehanabad,23
8,37,2018,Bihar,Sheohar,11
8,38,2018,Bihar,Muzaffarpur,100
8,39,2018,Bihar,Vaishali,50
9,1,2018,Rajasthan,Rajsamand,68
9,2,2018,Rajasthan,Alwar,139
9,3,2018,Rajasthan,Dausa,63
9,4,2018,Rajasthan,Jaipur Metro,295
9,5,2018,Rajasthan,Tonk,65
9,6,2018,Rajasthan,Bikaner,75
9,7,2018,Rajasthan,Ganganagar,110
9,8,2018,Rajasthan,Merta (Nagaur),36
9,9,2018,Rajasthan,Udaipur,126
9,10,2018,Rajasthan,Bundi,63
9,11,2018,Rajasthan,Hanumangarh,59
9,12,2018,Rajasthan,Baran,48
9,13,2018,Rajasthan,Bharatpur,111
9,14,2018,Rajasthan,Ajmer,112
9,18,2018,Rajasthan,Jhunjhunu,39
9,19,2018,Rajasthan,Pali,83
9,20,2018,Rajasthan,Kota,142
9,21,2018,Rajasthan,Jalore,29
9,22,2018,Rajasthan,Jhalawar,50
9,23,2018,Rajasthan,Pratapgarh,24
9,24,2018,Rajasthan,Dungarpur,34
9,25,2018,Rajasthan,Banswara,17
9,26,2018,Rajasthan,Sirohi,40
9,27,2018,Rajasthan,Balotra Barmer,40
9,28,2018,Rajasthan,Jodhpur Metro,136
9,29,2018,Rajasthan,Karauli,51
9,30,2018,Rajasthan,Chittorgarh,103
9,31,2018,Rajasthan,Bhilwara,93
9,32,2018,Rajasthan,Jaiselmer,25
9,33,2018,Rajasthan,Churu,53
9,34,2018,Rajasthan,Dholpur,42
9,35,2018,Rajasthan,Sikar,34
9,36,2018,Rajasthan,Sawai Madhopur,44
9,38,2018,Rajasthan,Jaipur District,60
9,39,2018,Rajasthan,Jodhpur District,25
10,1,2018,Tamil Nadu,Dharmapuri,33
10,2,2018,Tamil Nadu,Pudukkottai,22
10,3,2018,Tamil Nadu,Tirunelveli,50
10,4,2018,Tamil Nadu,Theni,32
10,5,2018,Tamil Nadu,Namakkal,33
10,6,2018,Tamil Nadu,Nagapattinam,29
10,7,2018,Tamil Nadu,Kanniyakumari,35
10,8,2018,Tamil Nadu,Tiruchirappalli,67
10,9,2018,Tamil Nadu,Thoothukudi,67
10,10,2018,Tamil Nadu,Viluppuram,74
