year,state_code,pending_cases,solved_cases,total_cases,total_days,mean_disposition_days
2013,1,184305,855275,1039580,470998902.0,550.6987834322294
2013,2,14366,181107,195473,126304095.0,697.4004041809538
2013,3,70666,825868,896534,298735386.0,361.72292182285787
2013,4,42292,366967,409259,209469312.0,570.8123945749891
2013,5,11608,58163,69771,34497777.0,593.1223802073483
2013,6,11063,100624,111687,51288429.0,509.70373867069486
2013,7,23600,64033,87633,46067548.0,719.4344790967158
2013,8,150794,135939,286733,103757731.0,763.2668402739464
2013,9,87257,349752,437009,208719630.0,596.7646503808413
2013,10,52851,274245,327096,195993823.0,714.666896388266
2013,11,63993,95047,159040,81856840.0,861.2248676970341
2013,12,9024,18435,27459,12363821.0,670.6710604827773
2013,13,324746,679782,1004528,462877947.0,680.9211585478874
2013,14,3653,282203,285856,159785110.0,566.206277041704
2013,15,7816,76918,84734,31809853.0,413.55538365532124
2013,16,72059,167728,239787,96709247.0,576.5837963846227
2013,17,65331,504069,569400,236713406.0,469.60516516588007
2013,18,10860,49026,59886,42529121.0,867.4809488842654
2013,19,86,1222,1308,262920.0,215.1554828150573
2013,20,1155,11636,12791,6508613.0,559.3514094190443
2013,21,434,1593,2027,653065.0,409.95919648462024
2013,22,6981,303422,310403,156161698.0,514.6683430997093
2013,23,60040,496788,556828,272157422.0,547.8341304540368
2013,24,5,3395,3400,388948.0,114.56494845360825
2013,25,318,4226,4544,1892271.0,447.7688121154756
2013,26,19125,127702,146827,70503925.0,552.0972655087626
2013,27,300,24187,24487,11457453.0,473.70293959565055
2013,29,18820,150299,169119,101989401.0,678.5767104238884
2013,30,1580,27919,29499,8351664.0,299.1390809126401
2013,31,17,1374,1391,374450.0,272.5254730713246
2013,32,98,1318,1416,545745.0,414.07056145675267
2013,33,9,10,19,17222.0,1722.2
