year,state_code,pending_cases,solved_cases,total_cases,total_days,mean_disposition_days
2010,1,64570,782233,846803,646758431.0,826.8104656796633
2010,2,3382,115968,119350,116455804.0,1004.2063672737307
2010,3,21470,485016,506486,323575881.0,667.144756049285
2010,4,5985,211381,217366,177406221.0,839.2723139733467
2010,5,2643,25894,28537,36425160.0,1406.7027110527536
2010,6,2472,45429,47901,57519541.0,1266.1414735081116
2010,7,8312,34676,42988,62545224.0,1803.7035413542508
2010,8,89514,50681,140195,102010515.0,2012.7960182316845
2010,9,34843,155388,190231,260439261.0,1676.0577457718744
2010,10,17736,153185,170921,209113851.0,1365.1065770147209
2010,11,34525,48996,83521,90602609.0,1849.1837905135112
2010,12,3214,9240,12454,13349056.0,1444.7030303030303
2010,13,220802,354989,575791,572517892.0,1612.7764296921875
2010,14,1159,113340,114499,129458642.0,1142.2149461796364
2010,15,2970,27314,30284,27912373.0,1021.907190451783
2010,16,40923,75952,116875,122246909.0,1609.5285048451653
2010,17,25746,302575,328321,334938463.0,1106.960135503594
2010,18,645,9522,10167,19470578.0,2044.7992018483512
2010,19,30,281,311,259960.0,925.1245551601423
2010,20,352,5454,5806,5406559.0,991.3016134946828
2010,21,364,552,916,504082.0,913.1920289855072
2010,22,1289,104126,105415,130891858.0,1257.0525901311871
2010,23,13014,317520,330534,271209221.0,854.1484662383472
2010,24,0,172,172,160524.0,933.2790697674419
2010,25,64,621,685,971596.0,1564.5668276972624
2010,26,7601,87233,94834,63566601.0,728.699012988204
2010,27,78,10213,10291,11693510.0,1144.9632820914521
2010,29,3798,94729,98527,103632792.0,1093.9922515808253
2010,30,661,23760,24421,11128447.0,468.36898148148146
2010,31,1,478,479,440811.0,922.1987447698745
2010,32,29,587,616,692441.0,1179.626916524702
