year,state_code,pending_cases,solved_cases,total_cases,total_days,mean_disposition_days
2018,1,851861,518695,1370556,24434194.0,47.10705520585315
2018,2,198649,119234,317883,8051340.0,67.52553801767952
2018,3,518510,581672,1100182,21599303.0,37.13313173059731
2018,4,448470,257091,705561,21365468.0,83.10469055704012
2018,5,102516,200296,302812,5608761.0,28.00236150497264
2018,6,112659,100037,212696,5754854.0,57.5272549156812
2018,7,95903,179307,275210,3793458.0,21.156218106376215
2018,8,435784,176648,612432,6997075.0,39.610270141750824
2018,9,392499,429043,821542,8959287.0,20.882025810932703
2018,10,340167,316063,656230,10935002.0,34.59753909821776
2018,11,206669,48448,255117,2295161.0,47.37369963672391
2018,12,48950,36968,85918,1962347.0,53.08231443410517
2018,13,1375234,1165530,2540764,40800892.0,35.00629928015581
2018,14,348521,292914,641435,14116123.0,48.192039301638026
2018,15,94264,56307,150571,2494856.0,44.30809668424885
2018,16,256543,215735,472278,6291045.0,29.160984541219552
2018,17,383188,382399,765587,18348221.0,47.98187495260186
2018,18,97297,115523,212820,2931572.0,25.37652242410602
2018,19,838,527,1365,39660.0,75.2561669829222
2018,20,8009,4417,12426,361375.0,81.81458003169573
2018,21,1582,2454,4036,83746.0,34.12632436837816
2018,22,300062,267966,568028,12425174.0,46.368472119597264
2018,23,408430,400077,808507,10103988.0,25.25510839163461
2018,24,862,3216,4078,113911.0,35.420087064676615
2018,25,4091,10670,14761,392059.0,36.74404873477038
2018,26,214717,188884,403601,10153364.0,53.75449482221893
2018,27,22602,12640,35242,981444.0,77.64588607594936
2018,29,161242,75141,236383,5292775.0,70.437910062416
2018,30,17507,21897,39404,834100.0,38.091976069781246
2018,31,326,1318,1644,45574.0,34.57814871016692
2018,32,605,693,1298,32891.0,47.46176046176046
2018,33,136,297,433,14412.0,48.525252525252526
