year,state_code,pending_cases,solved_cases,total_cases,total_days,mean_disposition_days
2015,1,346936,909669,1256605,311947300.0,342.92396465087853
2015,2,52162,216870,269032,93221542.0,429.8498731959238
2015,3,154330,908347,1062677,209083906.0,230.1806534287007
2015,4,125962,557425,683387,190384485.0,341.5427815401175
2015,5,25348,94721,120069,27698058.0,292.4172886688274
2015,6,27412,128171,155583,46201744.0,360.4695601969244
2015,7,39130,97676,136806,31412484.0,321.598796019493
2015,8,185102,193169,378271,63725408.0,329.8945897115997
2015,9,171430,413809,585239,154456317.0,373.2550935334901
2015,10,113360,343633,456993,132763804.0,386.35347594672226
2015,11,91329,101571,192900,44187964.0,435.04508176546454
2015,12,17139,32365,49504,10802523.0,333.7717596168701
2015,13,514318,1204825,1719143,384908178.0,319.47227024671633
2015,14,42056,464965,507021,144128364.0,309.97680255503104
2015,15,18109,69699,87808,21666902.0,310.863886138969
2015,16,139185,241148,380333,87434116.0,362.5745019655979
2015,17,89823,567388,657211,155943786.0,274.84505488307826
2015,18,29420,132575,161995,34788163.0,262.4036432208184
2015,19,446,688,1134,284837.0,414.00726744186045
2015,20,1910,10206,12116,3973008.0,389.28159905937684
2015,21,738,4744,5482,667872.0,140.78246205733558
2015,22,33533,380357,413890,123023180.0,323.4413458934632
2015,23,153956,517382,671338,168777374.0,326.21423628962737
2015,24,13,4719,4732,538583.0,114.13074803983895
2015,25,859,13964,14823,1857598.0,133.02764250930966
2015,26,49845,159987,209832,67877720.0,424.2702219555339
2015,27,1621,27631,29252,9197946.0,332.8850204480475
2015,29,55805,139191,194996,65654501.0,471.6863949536967
2015,30,3981,35783,39764,9803314.0,273.96568202777854
2015,31,56,1525,1581,255035.0,167.2360655737705
2015,32,83,1178,1261,455429.0,386.6120543293718
2015,33,15,43,58,41871.0,973.7441860465116
