year,state_code,pending_cases,solved_cases,total_cases,total_days,mean_disposition_days
2016,1,466622,779496,1246118,194261504.0,249.2142409967466
2016,2,81626,191418,273044,64137869.0,335.06707310702234
2016,3,221707,851769,1073476,147319841.0,172.9575049103689
2016,4,219147,590580,809727,156683376.0,265.30423651325816
2016,5,33821,76206,110027,17512642.0,229.80660315460725
2016,6,39020,116742,155762,32490969.0,278.3143084750989
2016,7,45388,85283,130671,20044883.0,235.03960930079853
2016,8,199628,189298,388926,42503487.0,224.53215036608944
2016,9,216122,342479,558601,89249342.0,260.5979987094099
2016,10,150859,343875,494734,84006583.0,244.29395274445656
2016,11,123563,104964,228527,26752689.0,254.87489996570253
2016,12,20396,22359,42755,7473542.0,334.25206851827005
2016,13,716566,1353431,2069997,292791488.0,216.3327779546944
2016,14,94367,477036,571403,105163505.0,220.45192606008771
2016,15,25183,67704,92887,16517568.0,243.96738745125842
2016,16,159277,194321,353598,50702956.0,260.92370870878597
2016,17,134269,600469,734738,111610889.0,185.87285771621848
2016,18,41487,137622,179109,25627830.0,186.21899114967084
2016,19,576,463,1039,204804.0,442.34125269978404
2016,20,3201,10571,13772,3129196.0,296.0170277173399
2016,21,973,4287,5260,490395.0,114.39118264520644
2016,22,68652,373134,441786,90894702.0,243.59801572625383
2016,23,223666,518341,742007,109748979.0,211.73123291423985
2016,24,26,5049,5075,493181.0,97.67894632600515
2016,25,1427,14297,15724,1569297.0,109.76407637966007
2016,26,91486,216956,308442,59304124.0,273.3463190693044
2016,27,4077,25705,29782,7922907.0,308.2243532386695
2016,29,79881,124152,204033,42044223.0,338.65119369804756
2016,30,5770,25574,31344,5333940.0,208.56885899741926
2016,31,55,1534,1589,204010.0,132.9921773142112
2016,32,132,874,1006,262132.0,299.92219679633865
2016,33,32,96,128,53005.0,552.1354166666666
