year,state_code,pending_cases,solved_cases,total_cases,total_days,mean_disposition_days
2014,1,252137,862599,1114736,395159944.0,458.1038744538308
2014,2,30742,216086,246828,114181194.0,528.4062549170238
2014,3,106487,922954,1029441,265022716.0,287.1461806330543
2014,4,68935,488193,557128,211052497.0,432.3136484955745
2014,5,17921,70586,88507,31839520.0,451.07415068143825
2014,6,19047,112561,131608,51053573.0,453.56360551167813
2014,7,29485,78043,107528,35972293.0,460.92914162705176
2014,8,167892,187161,355053,90403791.0,483.02686457114464
2014,9,112518,334621,447139,160223261.0,478.82010095003005
2014,10,79931,321487,401418,162472131.0,505.3769856946004
2014,11,69996,94053,164049,63685786.0,677.126577567967
2014,12,10864,18723,29587,10440455.0,557.627249906532
2014,13,360031,807840,1167871,392717347.0,486.13258442265794
2014,14,12477,383972,396449,156505607.0,407.5964054670653
2014,15,12371,92946,105317,29368328.0,315.9719406967487
2014,16,93135,161240,254375,79612992.0,493.75460183577275
2014,17,63134,570789,633923,184678356.0,323.5492555042231
2014,18,19526,111664,131190,41980050.0,375.94972417251756
2014,19,183,531,714,246867.0,464.909604519774
2014,20,1805,11896,13701,5933334.0,498.76714862138533
2014,21,590,4300,4890,859090.0,199.78837209302327
2014,22,15224,359367,374591,143306961.0,398.77607292823217
2014,23,105335,576145,681480,237291144.0,411.8601116038497
2014,24,1,4910,4911,506615.0,103.18024439918534
2014,25,570,12449,13019,1858644.0,149.3006667202185
2014,26,28738,143670,172408,69668800.0,484.9223915918424
2014,27,736,27163,27899,9923322.0,365.3249641055848
2014,29,35910,147219,183129,83018261.0,563.909964067138
2014,30,2490,31102,33592,7908857.0,254.28773069255996
2014,31,29,961,990,232270.0,241.6961498439126
2014,32,88,981,1069,480747.0,490.0581039755352
2014,33,9,18,27,21959.0,1219.9444444444443
