year,state_code,pending_cases,solved_cases,total_cases,total_days,mean_disposition_days
2012,1,124986,837822,962808,564518089.0,673.7923914626257
2012,2,10400,170375,180775,138510773.0,812.9759236977256
2012,3,44300,674100,718400,310627607.0,460.80345201008754
2012,4,22125,312947,335072,215191848.0,687.6303271800017
2012,5,7361,54647,62008,39374599.0,720.5262685966293
2012,6,6670,84654,91324,61863739.0,730.7834124790323
2012,7,14478,61523,76001,57667020.0,937.3245778001723
2012,8,123254,94268,217522,108750198.0,1153.62793312683
2012,9,60602,270152,330754,250332639.0,926.6362603275193
2012,10,32491,236381,268872,214854643.0,908.9336410286783
2012,11,50301,75768,126069,88846975.0,1172.6187176644494
2012,12,6806,22154,28960,15027279.0,678.3099665974541
2012,13,292056,664776,956832,586319249.0,881.9801692600214
2012,14,1926,221688,223614,155104243.0,699.6510546353434
2012,15,5243,57747,62990,39458829.0,683.3052626110448
2012,16,63117,141824,204941,97962692.0,690.7342339801444
2012,17,47973,404223,452196,287187452.0,710.4678655098794
2012,18,5420,66469,71889,63811714.0,960.022175751102
2012,19,154,1712,1866,357304.0,208.70560747663552
2012,20,731,10168,10899,6510924.0,640.3347757671125
2012,21,285,2434,2719,1496230.0,614.720624486442
2012,22,3555,243107,246662,154884365.0,637.1036827405217
2012,23,30897,412118,443015,292303161.0,709.2705511528252
2012,24,1,885,886,352744.0,398.58079096045196
2012,25,162,2163,2325,1500136.0,693.5441516412391
2012,26,13691,100633,114324,63626769.0,632.2654497033776
2012,27,240,19208,19448,11305067.0,588.5603394418993
2012,29,10058,126704,136762,101499237.0,801.0736598686702
2012,30,970,25242,26212,8809966.0,349.02012518817844
2012,31,30,1302,1332,471864.0,362.4147465437788
2012,32,69,721,790,499153.0,692.3065187239945
2012,33,5,7,12,14327.0,2046.7142857142858
