Name,Unique-ID,cases_per_judge
Jaipur,528,960.691437802908
Tonk,526,571.3333333333334
Bikaner,523,876.6024844720497
Ganganagar,520,933.695652173913
Nagaur,518,1422.494382022472
Udaipur,536,724.564
Bundi,527,780.2517985611511
Hanumangarh,517,1286.752475247525
Baran,649,763.7241379310345
Bharatpur,533,486.3151260504202
Ajmer,532,943.8724137931034
Jhunjhunun,514,1866.571428571429
Pali,530,852.930817610063
Kota,529,622.4463768115942
Jalor,537,799.015873015873
Jhalawar,647,656.0413223140496
Pratapgarh,524,818.672131147541
Pratapgarh,605,818.672131147541
Pratapgarh,524,1064.4108910891089
Pratapgarh,605,1064.4108910891089
Dungarpur,534,596.5394736842105
Banswara,652,982.8490566037736
Sirohi,539,659.8541666666666
Barmer,519,723.0114942528736
Karauli,653,625.2095238095238
Chittaurgarh,535,607.7158469945355
Bhilwara,525,897.4228187919463
Jaisalmer,515,713.8421052631579
Churu,522,770.3207547169811
Dhaulpur,650,440.3529411764706
Sikar,516,1425.029411764706
Sawai Madhopur,651,683.6052631578947
Jodhpur,521,1207.8
Dharmapuri,557,577.931506849315
Pudukkottai,628,2017.88
Tirunelveli,545,2280.127450980392
Theni,551,1543.8307692307692
Namakkal,558,1440.032786885246
Nagapattinam,631,1071.7555555555557
Kanniyakumari,634,1184.746835443038
Tiruchirappalli,549,990.6455696202532
Thoothukkudi,635,808.2857142857143
Viluppuram,632,706.1005586592179
Vellore,629,1100.470588235294
Salem,552,898.452380952381
Chennai,630,481.0398069963812
Virudhunagar,546,1548.0833333333333
Madurai,553,1282.8962962962962
The Nilgiris,646,901.6764705882352
Thanjavur,542,1056.045045045045
Coimbatore,645,1139.1878787878788
Karur,556,1145.4318181818182
Cuddalore,627,1694.842105263158
Ramanathapuram,544,554.8390804597701
Tiruvannamalai,543,3649.8260869565215
Perambalur,554,859.2972972972973
Erode,644,936.421052631579
Thiruvarur,547,1355.5348837209303
Krishnagiri,643,1073.1666666666667
Dindigul,555,1458.123287671233
Puducherry,269,1030.759493670886
Sivaganga,541,1084.3333333333333
Ariyalur,540,650.9459459459459
Kancheepuram,633,1476.2247191011236
Thiruvallur,548,1323.469696969697
Tiruppur,550,1922.0
Cuttack,501,896.9144736842105
Kendrapara,505,998.8
Nuapada,510,838.551724137931
Ganjam,507,601.0769230769231
Baleshwar,496,1590.6593406593406
Koraput,488,788.6
Dhenkanal,499,731.015625
Khordha,493,878.2657342657343
Gajapati,498,820.1176470588235
Kalahandi,503,996.7567567567568
Sambalpur,497,684.0375
Jharsuguda,511,834.2424242424242
Kendujhar,506,862.9295774647887
Jagatsinghapur,491,1070.5833333333333
Puri,485,1001.8684210526316
Sundargarh,508,1008.2921348314608
Balangir,513,584.4324324324324
Bhadrak,509,1386.5892857142858
Jajapur,502,982.9454545454546
Subarnapur,484,530.1363636363636
Rayagada,512,1225.1707317073171
Nayagarh,500,447.9411764705882
Kandhamal,492,558.709090909091
Baudh,504,529.9459459459459
Mayurbhanj,494,689.3424657534247
Anugul,486,732.4666666666667
Bargarh,490,665.5205479452055
Debagarh,487,756.8947368421053
Malkangiri,495,400.9583333333333
Nabarangapur,489,2165.8
Kathua,83,273.7454545454545
Udhampur,77,429.4285714285714
Baramula,65,334.7164179104478
Anantnag,64,834.7666666666667
Srinagar,72,572.6213592233009
Pulwama,74,495.34375
Ganderbal,76,354.77272727272725
Badgam,78,323.8478260869565
Reasi,68,382.1111111111111
Shupiyan,67,299.2972972972973
Kupwara,80,272.7407407407408
Punch,79,758.9285714285714
Rajouri,69,325.94444444444446
Ramban,75,206.69230769230768
Doda,73,279.0810810810811
Leh(Ladakh),71,50.38461538461539
Kargil,84,33.0
Bandipore,82,172.11764705882354
Jammu,70,605.4705882352941
Kulgam,66,165.85714285714286
Samba,81,311.4347826086956
Kishtwar,85,376.3684210526316
Allahabad,636,860.8454746136865
Bareilly,575,838.1305732484077
Gorakhpur,591,1017.6068601583112
Hardoi,578,1013.3048780487804
Chitrakoot,589,1106.430769230769
Meerut,568,1206.75
Bahraich,563,1031.3238095238096
Ghaziabad,621,1538.808429118774
Fatehpur,617,618.3832116788321
Shrawasti,567,859.4
Jaunpur,609,1187.179723502304
Pilibhit,584,843.5533333333333
Mainpuri,585,986.0762711864406
Ambedkar Nagar,595,1212.0754716981132
Sitapur,565,778.2540716612377
Auraiya,600,701.7052631578947
Budaun,561,1172.7603686635944
Kanpur Nagar,597,860.2017543859649
Gautam Buddha Nagar,623,4832.619047619048
Ballia,596,667.7848101265823
Sant Ravidas Nagar (Bhadohi),598,676.0909090909091
Lalitpur,641,1026.7692307692307
Lucknow,592,715.6368330464716
Etah,577,2009.411214953271
Muzaffarnagar,622,779.2222222222222
Varanasi,604,1272.0350877192982
Ghazipur,642,842.0149253731344
Firozabad,587,1463.7546012269938
Agra,626,1003.9700598802395
Etawah,625,485.3507109004739
Kushinagar,614,1260.35
Jyotiba Phule Nagar,586,1838.2307692307693
Bara Banki,610,1022.3073170731708
Kaushambi,602,981.5113636363636
Mahoba,611,896.0481927710844
Banda,639,698.5757575757576
Kanshiram Nagar,562,1758.5625
Deoria,615,662.6071428571429
Mau,618,1155.8372093023256
Aligarh,569,1526.1028037383178
Azamgarh,593,1528.859649122807
Baghpat,572,1337.527027027027
Basti,590,503.7911111111111
Bijnor,571,1064.4746835443038
Bulandshahr,570,621.1884816753927
Faizabad,594,1464.625850340136
Gonda,607,603.2
Kanpur Dehat,608,821.7068965517242
Mahrajganj,612,729.8461538461538
Mathura,576,1934.2486772486773
Moradabad,559,1310.6637168141592
Rae Bareli,619,649.1369047619048
Rampur,574,1676.515625
Saharanpur,624,1300.939024390244
Shahjahanpur,581,777.3776824034335
Siddharthnagar,599,804.7669902912621
