Name,Unique-ID,mean_disposition_days
Jehanabad,173,312.4909959573686
Sheohar,178,959.8703170028818
Muzaffarpur,170,588.4989966555183
Vaishali,176,597.1154177433248
Rajsamand,531,365.062193521131
Alwar,648,608.2974905771242
Dausa,538,401.8455464357469
Jaipur,528,526.1962377800162
Tonk,526,522.9335953052781
Bikaner,523,338.6744467287459
Ganganagar,520,424.7619475280469
Nagaur,518,444.3658868547586
Udaipur,536,505.2364624541792
Bundi,527,357.6629626876765
Hanumangarh,517,429.3576427966601
Baran,649,368.190012079493
Bharatpur,533,572.8555323164821
Ajmer,532,402.20593272451
Jhunjhunun,514,524.6827002558551
Pali,530,426.7046831770781
Kota,529,454.4982579842389
Jalor,537,517.2078493221316
Jhalawar,647,448.174375638288
Pratapgarh,524,392.0073011269684
Pratapgarh,605,392.0073011269684
Pratapgarh,524,381.2064277475584
Pratapgarh,605,381.2064277475584
Dungarpur,534,375.1530693888813
Banswara,652,466.35979489382265
Sirohi,539,451.078025041126
Barmer,519,474.88012215041545
Karauli,653,453.6404090984245
Chittaurgarh,535,555.7779588312303
Bhilwara,525,552.6832710817412
Jaisalmer,515,301.5208326405746
Churu,522,417.2766161095568
Dhaulpur,650,510.55395394501966
Sikar,516,465.4461713580562
Sawai Madhopur,651,416.6655220742817
Jodhpur,521,404.92816518298713
Dharmapuri,557,607.5842759339188
Pudukkottai,628,642.8040579710145
Tirunelveli,545,415.85619912249234
Theni,551,312.8458267452446
Namakkal,558,470.9786474140838
Nagapattinam,631,435.2812648456057
Kanniyakumari,634,544.7731963442683
Tiruchirappalli,549,444.751749491804
Thoothukkudi,635,389.6156464873448
Viluppuram,632,620.9298405786923
Vellore,629,393.7265378819016
Salem,552,607.8005375294107
Chennai,630,508.44188600849066
Virudhunagar,546,358.7427898276189
Madurai,553,453.88584391437695
The Nilgiris,646,404.1391311502386
Thanjavur,542,428.0658148341307
Coimbatore,645,605.4229337539432
Karur,556,506.326778680453
Cuddalore,627,632.1992037954765
Ramanathapuram,544,338.6699454455282
Tiruvannamalai,543,657.4053158592254
Perambalur,554,456.9746372131077
Erode,644,561.8518513606705
Thiruvarur,547,338.42072463768113
Krishnagiri,643,389.39370593793154
Dindigul,555,520.3979300975012
Puducherry,269,562.8090506938746
Sivaganga,541,410.2933874380959
Ariyalur,540,369.45456711045233
Kancheepuram,633,631.6044573004772
Thiruvallur,548,729.7964115086527
Tiruppur,550,521.3553988901025
Cuttack,501,648.5382883218754
Kendrapara,505,770.327513035043
Nuapada,510,762.630521247645
Ganjam,507,704.2618439386902
Baleshwar,496,673.5299658324868
Koraput,488,595.3920346503274
Dhenkanal,499,791.7864276358873
Khordha,493,758.9773025084238
Gajapati,498,538.4117813784308
