cases_per_judge,mean_disposition_days
18.36111111111111,719.2571428571429
33.0,399.4347826086956
50.38461538461539,266.3255208333333
60.0,120.41257995735609
82.66666666666667,917.6766467065868
103.08888888888887,508.9102980230156
108.16666666666669,219.25797872340425
122.30434782608695,213.81558321807285
144.25,54.33544946673438
146.53571428571428,574.2763253449529
148.40731707317073,622.3931639945398
151.77777777777777,152.05004389815628
152.94117647058823,75.38592328983788
165.85714285714286,565.787689348401
172.11764705882354,626.8977272727273
180.1851851851852,809.519947891223
206.69230769230768,405.6342129208371
208.3703703703704,475.20028409090907
217.21052631578948,353.8915889611001
231.2614555256065,399.1907313997478
241.25,258.60392156862747
243.725,512.9374742338875
246.67523879500368,294.3923552289375
254.97368421052636,312.95501474926255
259.4406779661017,279.36023313158483
260.53846153846155,260.390243902439
272.0,659.8598993288591
272.7407407407408,422.9727110050701
273.7454545454545,584.0038399353274
279.0810810810811,356.1052048726467
281.0549152542373,402.0354255505186
287.4230769230769,236.396520648852
294.66791510611733,446.8024662699648
299.2972972972973,490.93771850317233
301.7457627118644,398.7269166634351
302.7241379310345,129.87384467650944
308.9223410241981,436.1097297864927
310.69565217391306,474.4734662934453
311.4347826086956,633.5056289769947
314.5731707317073,441.993888694084
317.28801843317973,493.5898033075644
318.3478260869565,306.05334522747546
319.8482724086129,356.9543775941083
323.8478260869565,437.3008074604799
325.55056179775283,212.21042583215737
325.94444444444446,680.9131882202305
326.34615384615387,541.3042109405745
329.8645833333333,357.7464781794897
334.7164179104478,522.8342624964566
336.03053435114504,537.2021836820671
336.86256643887623,473.0418849747081
339.1224489795918,453.4735646802326
339.2898550724637,327.4724464535572
341.4864024864025,510.41083221948185
342.27272727272725,316.57735321528423
343.4198113207547,560.3279672509921
345.1138888888889,526.9588932806324
350.7993138936535,515.6008861107294
354.77272727272725,492.4430926216641
360.0175438596491,444.6553242034656
362.0670391061453,510.2044027807036
371.368499257058,570.3454097591015
376.3333333333333,110.640522875817
376.3684210526316,417.96331316187593
378.8524590163934,415.95094224924014
