year,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days,mean_decision_days
2011.0,5.0,11.0,3,4,7,9951.0,2487.75
2011.0,6.0,1.0,2,29,31,20297.0,699.8965517241379
2011.0,6.0,2.0,0,8,8,6194.0,774.25
2011.0,6.0,4.0,0,2,2,369.0,184.5
2011.0,6.0,7.0,0,13,13,9685.0,745.0
2011.0,6.0,8.0,0,29,29,20375.0,702.5862068965517
2011.0,6.0,9.0,0,1,1,106.0,106.0
2011.0,6.0,10.0,0,108,108,52475.0,485.8796296296296
2011.0,6.0,13.0,0,3,3,2759.0,919.6666666666666
2011.0,6.0,18.0,0,12,12,11300.0,941.6666666666666
2011.0,6.0,19.0,0,2,2,362.0,181.0
2011.0,6.0,20.0,1,1,2,223.0,223.0
2011.0,6.0,21.0,0,27,27,17254.0,639.0370370370371
2011.0,7.0,6.0,0,1,1,860.0,860.0
2011.0,7.0,7.0,1,0,1,0.0,
2011.0,7.0,9.0,2,1,3,813.0,813.0
2011.0,7.0,12.0,0,22,22,21077.0,958.0454545454545
2011.0,7.0,15.0,0,1,1,1492.0,1492.0
2011.0,7.0,21.0,0,6,6,8254.0,1375.6666666666667
2011.0,7.0,22.0,0,1,1,2690.0,2690.0
2011.0,8.0,1.0,5,0,5,0.0,
2011.0,8.0,5.0,1,0,1,0.0,
2011.0,8.0,6.0,9,6,15,11173.0,1862.1666666666667
2011.0,8.0,9.0,3,4,7,10543.0,2635.75
2011.0,8.0,10.0,1,0,1,0.0,
2011.0,8.0,16.0,0,1,1,1109.0,1109.0
2011.0,8.0,20.0,1,0,1,0.0,
2011.0,8.0,25.0,0,1,1,2144.0,2144.0
2011.0,8.0,26.0,4,0,4,0.0,
2011.0,8.0,29.0,1,0,1,0.0,
2011.0,8.0,34.0,6,0,6,0.0,
2011.0,8.0,35.0,1,0,1,0.0,
2011.0,8.0,36.0,1,0,1,0.0,
2011.0,9.0,2.0,7,45,52,60809.0,1351.3111111111111
2011.0,9.0,4.0,22,18,40,32653.0,1814.0555555555557
2011.0,9.0,5.0,3,11,14,23503.0,2136.6363636363635
2011.0,9.0,7.0,0,6,6,13937.0,2322.8333333333335
2011.0,9.0,8.0,0,4,4,6208.0,1552.0
2011.0,9.0,11.0,1,4,5,9363.0,2340.75
2011.0,9.0,12.0,6,20,26,24439.0,1221.95
2011.0,9.0,13.0,14,35,49,37881.0,1082.3142857142857
2011.0,9.0,14.0,3,29,32,49251.0,1698.3103448275863
2011.0,9.0,18.0,1,34,35,51373.0,1510.9705882352941
2011.0,9.0,19.0,1,0,1,0.0,
2011.0,9.0,20.0,5,5,10,11985.0,2397.0
2011.0,9.0,22.0,0,1,1,2405.0,2405.0
2011.0,9.0,23.0,0,2,2,4656.0,2328.0
2011.0,9.0,25.0,0,4,4,8857.0,2214.25
2011.0,9.0,28.0,4,22,26,42257.0,1920.7727272727273
2011.0,9.0,33.0,2,1,3,1157.0,1157.0
2011.0,9.0,35.0,4,2,6,4218.0,2109.0
2011.0,9.0,36.0,0,1,1,1764.0,1764.0
2011.0,9.0,38.0,3,0,3,0.0,
2011.0,9.0,39.0,1,0,1,0.0,
2011.0,9.0,40.0,7,6,13,11913.0,1985.5
2011.0,10.0,1.0,2,1,3,2501.0,2501.0
2011.0,10.0,3.0,0,2,2,4995.0,2497.5
2011.0,10.0,4.0,0,2,2,4381.0,2190.5
2011.0,10.0,6.0,1,1,2,2032.0,2032.0
2011.0,10.0,7.0,0,1,1,1847.0,1847.0
2011.0,10.0,9.0,0,1,1,2249.0,2249.0
2011.0,10.0,10.0,1,1,2,1992.0,1992.0
2011.0,10.0,11.0,0,6,6,12036.0,2006.0
2011.0,10.0,13.0,4,7,11,10502.0,1500.2857142857142
2011.0,10.0,15.0,0,1,1,1072.0,1072.0
2011.0,10.0,17.0,2,1,3,2092.0,2092.0
2011.0,10.0,18.0,1,4,5,7082.0,1770.5
2011.0,10.0,19.0,0,1,1,901.0,901.0
2011.0,10.0,20.0,0,2,2,4157.0,2078.5
2011.0,10.0,21.0,0,1,1,2083.0,2083.0
2011.0,10.0,22.0,0,1,1,2467.0,2467.0
2011.0,10.0,24.0,2,1,3,1609.0,1609.0
2011.0,10.0,26.0,0,1,1,1652.0,1652.0
2011.0,10.0,27.0,0,6,6,11209.0,1868.1666666666667
2011.0,10.0,28.0,0,2,2,4076.0,2038.0
2011.0,10.0,31.0,1,3,4,6155.0,2051.6666666666665
2011.0,10.0,32.0,1,1,2,2369.0,2369.0
2011.0,10.0,33.0,1,3,4,5277.0,1759.0
2011.0,11.0,1.0,14,7,21,14139.0,2019.857142857143
2011.0,11.0,4.0,1,1,2,1792.0,1792.0
2011.0,11.0,5.0,1,0,1,0.0,
2011.0,11.0,8.0,3,0,3,0.0,
2011.0,11.0,9.0,0,1,1,1013.0,1013.0
2011.0,11.0,11.0,4,1,5,1609.0,1609.0
2011.0,11.0,12.0,1,0,1,0.0,
2011.0,11.0,14.0,1,8,9,16332.0,2041.5
2011.0,11.0,15.0,1,1,2,1648.0,1648.0
2011.0,11.0,16.0,0,1,1,1609.0,1609.0
2011.0,11.0,17.0,1,1,2,1315.0,1315.0
2011.0,11.0,18.0,2,0,2,0.0,
2011.0,11.0,21.0,1,8,9,13067.0,1633.375
2011.0,11.0,26.0,3,0,3,0.0,
2011.0,11.0,27.0,1,2,3,2779.0,1389.5
2011.0,11.0,29.0,4,5,9,9764.0,1952.8
2011.0,12.0,19.0,0,2,2,4567.0,2283.5
2011.0,13.0,1.0,23,13,36,29136.0,2241.230769230769
2011.0,13.0,5.0,0,1,1,2182.0,2182.0
2011.0,13.0,6.0,5,25,30,41817.0,1672.68
2011.0,13.0,7.0,15,25,40,46865.0,1874.6
2011.0,13.0,8.0,16,16,32,21531.0,1345.6875
2011.0,13.0,9.0,17,19,36,22021.0,1159.0
2011.0,13.0,10.0,10,17,27,32682.0,1922.4705882352941
2011.0,13.0,12.0,3,1,4,2379.0,2379.0
2011.0,13.0,13.0,1,1,2,1028.0,1028.0
2011.0,13.0,14.0,0,2,2,4118.0,2059.0
2011.0,13.0,15.0,3,8,11,15816.0,1977.0
2011.0,13.0,16.0,15,1,16,2496.0,2496.0
2011.0,13.0,17.0,5,0,5,0.0,
2011.0,13.0,19.0,25,14,39,28286.0,2020.4285714285713
2011.0,13.0,20.0,0,9,9,14635.0,1626.111111111111
2011.0,13.0,21.0,9,8,17,15824.0,1978.0
2011.0,13.0,22.0,2,4,6,5549.0,1387.25
2011.0,13.0,24.0,33,21,54,43616.0,2076.9523809523807
2011.0,13.0,25.0,2,2,4,3303.0,1651.5
2011.0,13.0,26.0,21,16,37,32766.0,2047.875
2011.0,13.0,27.0,9,1,10,2261.0,2261.0
2011.0,13.0,28.0,10,0,10,0.0,
2011.0,13.0,29.0,3,4,7,7656.0,1914.0
2011.0,13.0,30.0,16,9,25,16565.0,1840.5555555555557
2011.0,13.0,31.0,4,3,7,6676.0,2225.3333333333335
2011.0,13.0,33.0,1,1,2,2206.0,2206.0
2011.0,13.0,34.0,1,0,1,0.0,
2011.0,13.0,39.0,2,3,5,6502.0,2167.3333333333335
2011.0,13.0,40.0,0,1,1,1814.0,1814.0
2011.0,13.0,43.0,1,2,3,4405.0,2202.5
2011.0,13.0,46.0,1,0,1,0.0,
2011.0,13.0,47.0,1,1,2,1498.0,1498.0
2011.0,13.0,48.0,2,4,6,7924.0,1981.0
2011.0,13.0,49.0,3,1,4,2658.0,2658.0
2011.0,13.0,50.0,19,10,29,26314.0,2631.4
2011.0,13.0,51.0,0,2,2,4054.0,2027.0
2011.0,13.0,52.0,145,138,283,304130.0,2203.840579710145
2011.0,13.0,53.0,1,2,3,3532.0,1766.0
2011.0,13.0,54.0,0,1,1,1439.0,1439.0
2011.0,13.0,55.0,0,4,4,7565.0,1891.25
2011.0,13.0,56.0,2,5,7,9236.0,1847.2
2011.0,13.0,57.0,8,1,9,1772.0,1772.0
2011.0,13.0,58.0,0,1,1,2548.0,2548.0
2011.0,13.0,59.0,0,1,1,2550.0,2550.0
2011.0,13.0,60.0,0,10,10,24362.0,2436.2
2011.0,13.0,61.0,2,0,2,0.0,
2011.0,13.0,63.0,0,1,1,2651.0,2651.0
2011.0,13.0,64.0,1,0,1,0.0,
2011.0,13.0,66.0,6,1,7,1537.0,1537.0
2011.0,13.0,68.0,9,11,20,19465.0,1769.5454545454545
