year,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days,mean_decision_days
2010.0,1.0,1.0,0,1,1,1858.0,1858.0
2010.0,1.0,2.0,0,12,12,20112.0,1676.0
2010.0,1.0,3.0,2,66,68,105819.0,1603.3181818181818
2010.0,1.0,4.0,0,20,20,32612.0,1630.6
2010.0,1.0,5.0,2,35,37,59002.0,1685.7714285714285
2010.0,1.0,7.0,0,35,35,23687.0,676.7714285714286
2010.0,1.0,8.0,0,21,21,18026.0,858.3809523809524
2010.0,1.0,9.0,1,11,12,6837.0,621.5454545454545
2010.0,1.0,10.0,1,1,2,2145.0,2145.0
2010.0,1.0,13.0,1,21,22,34320.0,1634.2857142857142
2010.0,1.0,14.0,4,21,25,26405.0,1257.3809523809523
2010.0,1.0,15.0,0,13,13,29994.0,2307.230769230769
2010.0,1.0,18.0,0,34,34,35574.0,1046.2941176470588
2010.0,1.0,19.0,0,14,14,20325.0,1451.7857142857142
2010.0,1.0,20.0,4,78,82,66488.0,852.4102564102565
2010.0,1.0,21.0,16,114,130,178066.0,1561.982456140351
2010.0,1.0,23.0,79,169,248,290432.0,1718.5325443786983
2010.0,1.0,24.0,0,15,15,10023.0,668.2
2010.0,1.0,25.0,12,1288,1300,910737.0,707.0939440993789
2010.0,1.0,26.0,1,159,160,143709.0,903.8301886792453
2010.0,1.0,27.0,3,165,168,159856.0,968.8242424242425
2010.0,1.0,28.0,0,13,13,25129.0,1933.0
2010.0,1.0,29.0,0,54,54,31647.0,586.0555555555555
2010.0,1.0,30.0,1,48,49,38756.0,807.4166666666666
2010.0,1.0,31.0,0,34,34,21306.0,626.6470588235294
2010.0,1.0,32.0,0,5,5,11141.0,2228.2
2010.0,1.0,33.0,0,30,30,14923.0,497.43333333333334
2010.0,1.0,34.0,1,8,9,16363.0,2045.375
2010.0,1.0,35.0,4,93,97,64760.0,696.3440860215054
2010.0,1.0,36.0,0,34,34,41642.0,1224.764705882353
2010.0,1.0,37.0,21,197,218,67059.0,340.4010152284264
2010.0,2.0,2.0,0,6,6,6560.0,1093.3333333333333
2010.0,2.0,3.0,1,31,32,32324.0,1042.7096774193549
2010.0,2.0,4.0,0,19,19,18983.0,999.1052631578947
2010.0,2.0,5.0,0,53,53,55211.0,1041.7169811320755
2010.0,2.0,7.0,0,12,12,11803.0,983.5833333333334
2010.0,2.0,10.0,0,8,8,2249.0,281.125
2010.0,2.0,11.0,1,95,96,110013.0,1158.0315789473684
2010.0,2.0,15.0,2,3,5,6048.0,2016.0
2010.0,2.0,17.0,0,19,19,14884.0,783.3684210526316
2010.0,2.0,19.0,0,8,8,11499.0,1437.375
2010.0,2.0,20.0,3,108,111,109067.0,1009.8796296296297
2010.0,2.0,21.0,0,8,8,10350.0,1293.75
2010.0,2.0,23.0,0,39,39,35188.0,902.2564102564103
2010.0,3.0,1.0,0,4,4,4533.0,1133.25
2010.0,3.0,2.0,0,7,7,3580.0,511.42857142857144
2010.0,3.0,3.0,0,3,3,3854.0,1284.6666666666667
2010.0,3.0,8.0,0,89,89,22799.0,256.1685393258427
2010.0,3.0,9.0,0,40,40,19654.0,491.35
2010.0,3.0,11.0,0,20,20,17458.0,872.9
2010.0,3.0,12.0,0,1,1,778.0,778.0
2010.0,3.0,13.0,0,3,3,520.0,173.33333333333334
2010.0,3.0,14.0,0,12,12,6644.0,553.6666666666666
2010.0,3.0,16.0,1,0,1,0.0,
2010.0,3.0,18.0,0,9,9,5608.0,623.1111111111111
2010.0,3.0,19.0,0,1,1,966.0,966.0
2010.0,3.0,20.0,3,17,20,24342.0,1431.8823529411766
2010.0,3.0,21.0,0,5,5,9352.0,1870.4
2010.0,3.0,23.0,0,7,7,6109.0,872.7142857142857
2010.0,3.0,24.0,2,15,17,15104.0,1006.9333333333333
2010.0,3.0,26.0,0,9,9,13205.0,1467.2222222222222
2010.0,4.0,1.0,0,38,38,25349.0,667.078947368421
2010.0,4.0,2.0,2,164,166,72669.0,443.1036585365854
2010.0,4.0,3.0,1,33,34,45138.0,1367.8181818181818
2010.0,4.0,4.0,1,74,75,32414.0,438.02702702702703
2010.0,4.0,5.0,1,70,71,40577.0,579.6714285714286
2010.0,4.0,6.0,3,109,112,64401.0,590.8348623853211
2010.0,4.0,7.0,0,60,60,21284.0,354.73333333333335
2010.0,4.0,8.0,0,72,72,79836.0,1108.8333333333333
2010.0,4.0,9.0,9,117,126,118625.0,1013.8888888888889
2010.0,4.0,10.0,1,31,32,19095.0,615.9677419354839
2010.0,4.0,11.0,0,67,67,33499.0,499.9850746268657
2010.0,4.0,12.0,0,48,48,27127.0,565.1458333333334
2010.0,4.0,15.0,5,27,32,23356.0,865.0370370370371
2010.0,4.0,16.0,0,199,199,70017.0,351.84422110552765
2010.0,5.0,2.0,1,1,2,1858.0,1858.0
2010.0,5.0,4.0,1,0,1,0.0,
2010.0,5.0,11.0,4,3,7,8094.0,2698.0
2010.0,6.0,1.0,1,24,25,22297.0,929.0416666666666
2010.0,6.0,2.0,1,4,5,3687.0,921.75
2010.0,6.0,4.0,0,3,3,1691.0,563.6666666666666
2010.0,6.0,6.0,0,2,2,2108.0,1054.0
2010.0,6.0,7.0,1,15,16,20494.0,1366.2666666666667
2010.0,6.0,8.0,0,10,10,10770.0,1077.0
2010.0,6.0,10.0,0,23,23,18534.0,805.8260869565217
2010.0,6.0,13.0,0,1,1,1321.0,1321.0
2010.0,6.0,18.0,0,2,2,3349.0,1674.5
2010.0,6.0,19.0,0,1,1,635.0,635.0
2010.0,6.0,21.0,0,26,26,25227.0,970.2692307692307
2010.0,7.0,4.0,0,3,3,6020.0,2006.6666666666667
2010.0,7.0,8.0,0,1,1,1519.0,1519.0
2010.0,7.0,11.0,1,0,1,0.0,
2010.0,7.0,12.0,0,14,14,18928.0,1352.0
2010.0,7.0,15.0,0,1,1,975.0,975.0
2010.0,7.0,21.0,0,3,3,3287.0,1095.6666666666667
2010.0,7.0,22.0,0,5,5,12315.0,2463.0
2010.0,8.0,1.0,10,4,14,5301.0,1325.25
2010.0,8.0,6.0,4,8,12,16694.0,2086.75
2010.0,8.0,9.0,3,5,8,14066.0,2813.2
2010.0,8.0,26.0,0,2,2,3595.0,1797.5
2010.0,8.0,29.0,2,0,2,0.0,
2010.0,8.0,34.0,3,0,3,0.0,
2010.0,8.0,38.0,0,1,1,2931.0,2931.0
2010.0,9.0,1.0,0,1,1,2633.0,2633.0
2010.0,9.0,2.0,1,12,13,29655.0,2471.25
2010.0,9.0,4.0,13,18,31,41746.0,2319.222222222222
2010.0,9.0,5.0,1,0,1,0.0,
2010.0,9.0,7.0,1,2,3,5367.0,2683.5
2010.0,9.0,9.0,2,0,2,0.0,
2010.0,9.0,11.0,0,3,3,8428.0,2809.3333333333335
2010.0,9.0,12.0,1,6,7,10549.0,1758.1666666666667
2010.0,9.0,13.0,1,25,26,44612.0,1784.48
2010.0,9.0,14.0,6,12,18,27963.0,2330.25
2010.0,9.0,18.0,3,23,26,45176.0,1964.1739130434783
2010.0,9.0,19.0,4,1,5,2895.0,2895.0
2010.0,9.0,20.0,4,3,7,7475.0,2491.6666666666665
2010.0,9.0,23.0,1,0,1,0.0,
2010.0,9.0,28.0,3,12,15,27763.0,2313.5833333333335
2010.0,9.0,30.0,1,0,1,0.0,
2010.0,9.0,31.0,1,2,3,5016.0,2508.0
2010.0,9.0,32.0,0,1,1,2407.0,2407.0
2010.0,9.0,35.0,0,3,3,7902.0,2634.0
2010.0,9.0,38.0,0,1,1,2887.0,2887.0
2010.0,9.0,40.0,1,8,9,19862.0,2482.75
2010.0,10.0,4.0,0,3,3,7564.0,2521.3333333333335
2010.0,10.0,10.0,1,0,1,0.0,
2010.0,10.0,11.0,1,1,2,2657.0,2657.0
2010.0,10.0,12.0,0,1,1,2767.0,2767.0
2010.0,10.0,13.0,0,1,1,2211.0,2211.0
2010.0,10.0,15.0,0,2,2,4772.0,2386.0
2010.0,10.0,17.0,0,2,2,5288.0,2644.0
2010.0,10.0,18.0,1,2,3,4747.0,2373.5
2010.0,10.0,21.0,1,0,1,0.0,
2010.0,10.0,22.0,0,1,1,2187.0,2187.0
2010.0,10.0,24.0,0,2,2,3919.0,1959.5
2010.0,10.0,26.0,1,0,1,0.0,
2010.0,10.0,27.0,0,6,6,13504.0,2250.6666666666665
2010.0,10.0,28.0,1,1,2,1995.0,1995.0
2010.0,10.0,31.0,0,1,1,840.0,840.0
2010.0,10.0,32.0,2,6,8,14934.0,2489.0
2010.0,11.0,1.0,7,3,10,6936.0,2312.0
2010.0,11.0,4.0,1,0,1,0.0,
2010.0,11.0,8.0,4,0,4,0.0,
2010.0,11.0,11.0,11,0,11,0.0,
2010.0,11.0,12.0,0,2,2,4471.0,2235.5
2010.0,11.0,14.0,1,0,1,0.0,
2010.0,11.0,15.0,0,1,1,2756.0,2756.0
2010.0,11.0,16.0,0,1,1,2764.0,2764.0
2010.0,11.0,18.0,1,0,1,0.0,
2010.0,11.0,21.0,1,3,4,5149.0,1716.3333333333333
2010.0,11.0,22.0,1,0,1,0.0,
2010.0,11.0,26.0,1,0,1,0.0,
2010.0,11.0,29.0,1,1,2,1884.0,1884.0
2010.0,11.0,31.0,1,0,1,0.0,
2010.0,13.0,1.0,24,3,27,7785.0,2595.0
2010.0,13.0,4.0,0,1,1,2724.0,2724.0
2010.0,13.0,6.0,8,22,30,47290.0,2149.5454545454545
2010.0,13.0,7.0,4,19,23,45373.0,2388.0526315789475
2010.0,13.0,8.0,108,20,128,48002.0,2400.1
2010.0,13.0,9.0,5,3,8,6135.0,2045.0
2010.0,13.0,10.0,8,11,19,24741.0,2249.181818181818
2010.0,13.0,12.0,0,3,3,5976.0,1992.0
2010.0,13.0,14.0,2,0,2,0.0,
2010.0,13.0,15.0,2,1,3,1189.0,1189.0
2010.0,13.0,16.0,6,2,8,5030.0,2515.0
2010.0,13.0,17.0,2,0,2,0.0,
2010.0,13.0,19.0,14,6,20,13886.0,2314.3333333333335
2010.0,13.0,20.0,0,5,5,10397.0,2079.4
2010.0,13.0,21.0,9,1,10,1911.0,1911.0
2010.0,13.0,22.0,2,4,6,7129.0,1782.25
2010.0,13.0,24.0,19,9,28,21150.0,2350.0
2010.0,13.0,25.0,0,3,3,7127.0,2375.6666666666665
2010.0,13.0,26.0,32,14,46,36528.0,2609.1428571428573
2010.0,13.0,27.0,4,0,4,0.0,
2010.0,13.0,28.0,7,0,7,0.0,
2010.0,13.0,29.0,1,4,5,8736.0,2184.0
2010.0,13.0,30.0,2,1,3,2484.0,2484.0
2010.0,13.0,31.0,0,3,3,7332.0,2444.0
2010.0,13.0,33.0,2,0,2,0.0,
2010.0,13.0,34.0,1,0,1,0.0,
2010.0,13.0,39.0,0,1,1,2380.0,2380.0
2010.0,13.0,41.0,0,1,1,2375.0,2375.0
2010.0,13.0,43.0,1,0,1,0.0,
2010.0,13.0,47.0,2,2,4,5254.0,2627.0
2010.0,13.0,48.0,0,1,1,2243.0,2243.0
2010.0,13.0,49.0,9,2,11,4651.0,2325.5
2010.0,13.0,50.0,0,2,2,6231.0,3115.5
2010.0,13.0,51.0,2,0,2,0.0,
2010.0,13.0,52.0,16,6,22,15123.0,2520.5
2010.0,13.0,53.0,0,4,4,8079.0,2019.75
2010.0,13.0,55.0,1,4,5,10225.0,2556.25
2010.0,13.0,56.0,0,6,6,14118.0,2353.0
2010.0,13.0,57.0,9,3,12,7701.0,2567.0
2010.0,13.0,58.0,1,0,1,0.0,
2010.0,13.0,59.0,1,0,1,0.0,
2010.0,13.0,60.0,1,0,1,0.0,
2010.0,13.0,61.0,1,1,2,2685.0,2685.0
2010.0,13.0,64.0,1,1,2,2313.0,2313.0
2010.0,13.0,66.0,5,2,7,4697.0,2348.5
2010.0,13.0,68.0,6,1,7,1943.0,1943.0
2010.0,13.0,70.0,0,1,1,2996.0,2996.0
2010.0,13.0,73.0,5,0,5,0.0,
2010.0,13.0,76.0,1,0,1,0.0,
2010.0,14.0,1.0,0,10,10,10682.0,1068.2
2010.0,14.0,2.0,0,52,52,54246.0,1043.1923076923076
2010.0,14.0,3.0,0,7,7,13054.0,1864.857142857143
2010.0,14.0,5.0,0,19,19,33835.0,1780.7894736842106
2010.0,14.0,6.0,0,2,2,3779.0,1889.5
